alpha_1,alpha_2,omega_n,zeta,PO,omega_d,t_p,t_r,t_s
6.40001,0.70001,6.407164468,0.998960083,1.27706E-28,0.292123988,10.75431249,10.59818309,1.093666912
7.30001,0.80001,6.410621065,0.998113102,6.6317E-21,0.393626493,7.981151445,7.825062132,1.047480801
8.20001,0.90001,6.413316809,0.997453129,8.31217E-18,0.457429856,6.86792218,6.711864113,1.0243159
9.10001,1.00001,6.415478006,0.996924385,4.40557E-16,0.502777504,6.248474979,6.092441949,1.009787379
9.90001,1.10001,6.446311272,0.991110333,6.85447E-09,0.857633378,3.663095134,3.507506339,0.928017584
9.00001,1.00001,6.447429825,0.991008231,7.84562E-09,0.862672059,3.641699787,3.486132669,0.927062526
8.10001,0.90001,6.448796681,0.990883524,9.22424E-09,0.868790572,3.616052884,3.460512246,0.925909832
7.20001,0.80001,6.450504842,0.990727774,1.12394E-08,0.87637835,3.584744709,3.429237152,0.924490908
6.30001,0.70001,6.452700378,0.990527741,1.43831E-08,0.886038117,3.545663097,3.39019804,0.922701147
5.40001,0.60001,6.455626592,0.990261407,1.97391E-08,0.898755503,3.495491981,3.340083535,0.920372625
4.50001,0.50001,6.459721049,0.989889265,3.00808E-08,0.916261818,3.428706284,3.273376987,0.917217324
3.60001,0.40001,6.465857844,0.989332629,5.41953E-08,0.941908162,3.33534922,3.18013841,0.912695318
2.70001,0.30001,6.476072841,0.988409086,1.30921E-07,0.983158252,3.195408925,3.040394974,0.90565757
1.80001,0.20001,6.496454417,0.986577533,5.712E-07,1.060828857,2.961450976,2.806828431,0.893119114
9.80001,1.10001,6.475771198,0.985700756,1.04434E-06,1.091201437,2.879021734,2.723859698,0.891846699
8.90001,1.00001,6.47986326,0.98505743,1.57171E-06,1.116002159,2.815041735,2.6599442,0.888443733
8.00001,0.90001,6.484871259,0.984271159,2.50315E-06,1.145645435,2.742203266,2.58718459,0.884480688
7.10001,0.80001,6.491141478,0.983288347,4.27498E-06,1.181744825,2.658435719,2.503515654,0.879800283
6.20001,0.70001,6.499219936,0.982024772,7.97128E-06,1.226741285,2.560925186,2.40613197,0.874177154
0.90001,0.10001,6.557218006,0.981204023,1.15506E-05,1.265367515,2.48275115,2.329284724,0.86373234
5.30001,0.60001,6.510020655,0.980340068,1.66434E-05,1.284527054,2.445719336,2.291095359,0.867274438
9.70001,1.10001,6.505638243,0.980262085,1.71812E-05,1.286180389,2.442575459,2.287843262,0.867620409
8.80001,1.00001,6.512790515,0.979071377,2.73098E-05,1.32546469,2.370182078,2.215557861,0.863175617
4.40001,0.50001,6.52519855,0.977981591,4.03808E-05,1.361751379,2.307023662,2.152636831,0.858560226
7.90001,0.90001,6.521557317,0.977615202,4.5762E-05,1.372141177,2.289554972,2.135062876,0.858081821
7.00001,0.80001,6.532554926,0.975793636,8.17058E-05,1.428626289,2.19903041,2.044703696,0.852172131
9.60001,1.10001,6.535921855,0.974793854,0.000109348,1.458212987,2.154412751,2.000113525,0.849470226
3.50001,0.40001,6.54809096,0.974444058,0.0001206,1.47089972,2.135830615,1.981799967,0.847129836
6.10001,0.70001,6.546759014,0.973449405,0.000157665,1.498568106,2.096396314,1.942282611,0.845211817
8.70001,1.00001,6.546224228,0.973049452,0.000174877,1.509536662,2.081163534,1.927016432,0.84447059
7.80001,0.90001,6.558872301,0.970914797,0.000293221,1.570359721,2.000556058,1.846595249,0.838795213
5.20001,0.60001,6.565811392,0.970319839,0.000335321,1.587778431,1.978608975,1.824779951,0.836857001
9.50001,1.10001,6.566631795,0.969295584,0.000418629,1.614724884,1.945590041,1.791726963,0.835012323
2.60001,0.30001,6.586584567,0.968548453,0.000488856,1.63890709,1.916882704,1.763446953,0.831270414
6.90001,0.80001,6.574770213,0.968242415,0.000520106,1.643779677,1.911200569,1.75747319,0.83227901
8.60001,1.00001,6.580177498,0.966991013,0.000664157,1.676698198,1.873678076,1.720011954,0.829684275
4.30001,0.50001,6.592705605,0.965930803,0.000808512,1.706195327,1.841285464,1.687856277,0.826576692
6.00001,0.70001,6.595355345,0.964799794,0.000987621,1.734482622,1.811256345,1.657830018,0.824692227
