alpha_1,alpha_2,Imag,Real
0.036,0.036,8.469240241,-0.620250734
0.036,360.036,8.298061811,-0.607815861
0.036,720.036,8.297923742,-0.607814913
0.036,1080.036,8.297877586,-0.607815662
0.036,1440.036,8.297854479,-0.607816238
0.036,1800.036,8.297840605,-0.607816647
0.036,2160.036,8.297831352,-0.607816947
0.036,2520.036,8.29782474,-0.607817174
0.036,2880.036,8.29781978,-0.607817352
0.036,3240.036,8.297815922,-0.607817494
0.036,3600.036,8.297812835,-0.607817611
0.036,3960.036,8.297810309,-0.607817708
0.036,4320.036,8.297808204,-0.607817791
0.036,4680.036,8.297806422,-0.607817861
0.036,5040.036,8.297804895,-0.607817922
0.036,5400.036,8.297803571,-0.607817975
0.036,5760.036,8.297802413,-0.607818022
0.036,6120.036,8.297801391,-0.607818064
0.036,6480.036,8.297800483,-0.607818102
0.036,6840.036,8.29779967,-0.607818135
0.036,7200.036,8.297798938,-0.607818166
0.036,7560.036,8.297798276,-0.607818193
0.036,7920.036,8.297797675,-0.607818218
0.036,8280.036,8.297797125,-0.607818242
0.036,8640.036,8.297796621,-0.607818263
0.036,9000.036,8.297796158,-0.607818282
0.036,9360.036,8.29779573,-0.607818301
0.036,9720.036,8.297795334,-0.607818317
0.036,10080.036,8.297794966,-0.607818333
0.036,10440.036,8.297794624,-0.607818348
0.036,10800.036,8.297794304,-0.607818361
0.036,11160.036,8.297794005,-0.607818374
0.036,11520.036,8.297793725,-0.607818386
0.036,11880.036,8.297793462,-0.607818397
0.036,12240.036,8.297793214,-0.607818408
0.036,12600.036,8.29779298,-0.607818418
0.036,12960.036,8.29779276,-0.607818428
0.036,13320.036,8.297792551,-0.607818437
0.036,13680.036,8.297792353,-0.607818445
0.036,14040.036,8.297792165,-0.607818453
0.036,14400.036,8.297791987,-0.607818461
0.036,14760.036,8.297791817,-0.607818468
0.036,15120.036,8.297791656,-0.607818475
0.036,15480.036,8.297791502,-0.607818482
0.036,15840.036,8.297791355,-0.607818489
0.036,16200.036,8.297791215,-0.607818495
0.036,16560.036,8.29779108,-0.607818501
0.036,16920.036,8.297790952,-0.607818506
0.036,17280.036,8.297790828,-0.607818512
0.036,17640.036,8.29779071,-0.607818517
0.036,18000.036,8.297790597,-0.607818522
0.036,18360.036,8.297790488,-0.607818526
0.036,18720.036,8.297790383,-0.607818531
0.036,19080.036,8.297790282,-0.607818535
0.036,19440.036,8.297790185,-0.60781854
0.036,19800.036,8.297790091,-0.607818544
0.036,20160.036,8.297790001,-0.607818548
0.036,20520.036,8.297789913,-0.607818552
0.036,20880.036,8.297789829,-0.607818555
0.036,21240.036,8.297789748,-0.607818559
0.036,21600.036,8.29778967,-0.607818562
0.036,21960.036,8.297789594,-0.607818566
0.036,22320.036,8.29778952,-0.607818569
0.036,22680.036,8.297789449,-0.607818572
0.036,23040.036,8.29778938,-0.607818575
