alpha_1,alpha_2,Imag,Real
0.036,0.036,1.092296936,-0.087869808
0.036,360.036,0.90834059,-0.070065225
0.036,720.036,0.908317862,-0.070065153
0.036,1080.036,0.908310282,-0.070065141
0.036,1440.036,0.908306492,-0.070065138
0.036,1800.036,0.908304217,-0.070065136
0.036,2160.036,0.908302701,-0.070065136
0.036,2520.036,0.908301618,-0.070065136
0.036,2880.036,0.908300805,-0.070065136
0.036,3240.036,0.908300173,-0.070065136
0.036,3600.036,0.908299668,-0.070065136
0.036,3960.036,0.908299254,-0.070065136
0.036,4320.036,0.90829891,-0.070065136
0.036,4680.036,0.908298618,-0.070065136
0.036,5040.036,0.908298368,-0.070065136
0.036,5400.036,0.908298151,-0.070065136
0.036,5760.036,0.908297962,-0.070065136
0.036,6120.036,0.908297794,-0.070065136
0.036,6480.036,0.908297646,-0.070065136
0.036,6840.036,0.908297513,-0.070065136
0.036,7200.036,0.908297393,-0.070065136
0.036,7560.036,0.908297285,-0.070065136
0.036,7920.036,0.908297186,-0.070065136
0.036,8280.036,0.908297096,-0.070065136
0.036,8640.036,0.908297014,-0.070065136
0.036,9000.036,0.908296938,-0.070065136
0.036,9360.036,0.908296868,-0.070065136
0.036,9720.036,0.908296803,-0.070065136
0.036,10080.036,0.908296743,-0.070065136
0.036,10440.036,0.908296687,-0.070065136
0.036,10800.036,0.908296635,-0.070065136
0.036,11160.036,0.908296586,-0.070065136
0.036,11520.036,0.90829654,-0.070065136
0.036,11880.036,0.908296497,-0.070065136
0.036,12240.036,0.908296456,-0.070065136
0.036,12600.036,0.908296418,-0.070065136
0.036,12960.036,0.908296382,-0.070065136
0.036,13320.036,0.908296348,-0.070065136
0.036,13680.036,0.908296315,-0.070065136
0.036,14040.036,0.908296285,-0.070065137
0.036,14400.036,0.908296255,-0.070065137
0.036,14760.036,0.908296228,-0.070065137
0.036,15120.036,0.908296201,-0.070065137
0.036,15480.036,0.908296176,-0.070065137
0.036,15840.036,0.908296152,-0.070065137
0.036,16200.036,0.908296129,-0.070065137
0.036,16560.036,0.908296107,-0.070065137
0.036,16920.036,0.908296086,-0.070065137
0.036,17280.036,0.908296066,-0.070065137
0.036,17640.036,0.908296046,-0.070065137
0.036,18000.036,0.908296028,-0.070065137
0.036,18360.036,0.90829601,-0.070065137
0.036,18720.036,0.908295993,-0.070065137
0.036,19080.036,0.908295976,-0.070065137
0.036,19440.036,0.90829596,-0.070065137
0.036,19800.036,0.908295945,-0.070065137
0.036,20160.036,0.90829593,-0.070065137
0.036,20520.036,0.908295916,-0.070065137
0.036,20880.036,0.908295902,-0.070065137
0.036,21240.036,0.908295889,-0.070065137
0.036,21600.036,0.908295876,-0.070065137
0.036,21960.036,0.908295864,-0.070065137
0.036,22320.036,0.908295852,-0.070065137
0.036,22680.036,0.90829584,-0.070065137
0.036,23040.036,0.908295829,-0.070065137
0.036,23400.036,0.908295818,-0.070065137
0.036,23760.036,0.908295807,-0.070065137
0.036,24120.036,0.908295797,-0.070065137
0.036,24480.036,0.908295787,-0.070065137
0.036,24840.036,0.908295777,-0.070065137
0.036,25200.036,0.908295768,-0.070065137
0.036,25560.036,0.908295759,-0.070065137
0.036,25920.036,0.90829575,-0.070065137
0.036,26280.036,0.908295741,-0.070065137
0.036,26640.036,0.908295733,-0.070065137
0.036,27000.036,0.908295725,-0.070065137
0.036,27360.036,0.908295717,-0.070065137
0.036,27720.036,0.908295709,-0.070065137
0.036,28080.036,0.908295701,-0.070065137
0.036,28440.036,0.908295694,-0.070065137
0.036,28800.036,0.908295687,-0.070065137
0.036,29160.036,0.90829568,-0.070065137
0.036,29520.036,0.908295673,-0.070065137
0.036,29880.036,0.908295666,-0.070065137
0.036,30240.036,0.90829566,-0.070065137
0.036,30600.036,0.908295653,-0.070065137
0.036,30960.036,0.908295647,-0.070065137
0.036,31320.036,0.908295641,-0.070065137
0.036,31680.036,0.908295635,-0.070065137
0.036,32040.036,0.908295629,-0.070065137
0.036,32400.036,0.908295623,-0.070065137
0.036,32760.036,0.908295618,-0.070065137
0.036,33120.036,0.908295612,-0.070065137
0.036,33480.036,0.908295607,-0.070065137
0.036,33840.036,0.908295602,-0.070065137
0.036,34200.036,0.908295597,-0.070065137
0.036,34560.036,0.908295592,-0.070065137
0.036,34920.036,0.908295587,-0.070065137
0.036,35280.036,0.908295582,-0.070065137
0.036,35640.036,0.908295577,-0.070065137
360.036,0.036,0,-0.183216952
360.036,360.036,1.282411964,-0.070812241
360.036,720.036,1.112101675,-0.070185482
360.036,1080.036,1.048758697,-0.070088857
360.036,1440.036,1.015532266,-0.070061709
360.036,1800.036,0.995041271,-0.070052204
360.036,2160.036,0.981133658,-0.070048696
360.036,2520.036,0.971073263,-0.070047576
360.036,2880.036,0.963456626,-0.070047495
360.036,3240.036,0.957489274,-0.070047881
360.036,3600.036,0.952687597,-0.070048474
360.036,3960.036,0.948740294,-0.070049145
360.036,4320.036,0.945437888,-0.070049834
360.036,4680.036,0.942634226,-0.070050508
360.036,5040.036,0.940224228,-0.070051153
360.036,5400.036,0.938130402,-0.070051761
360.036,5760.036,0.936294347,-0.070052331
360.036,6120.036,0.934671213,-0.070052864
360.036,6480.036,0.933225987,-0.07005336
360.036,6840.036,0.931930934,-0.070053823
360.036,7200.036,0.930763801,-0.070054255
360.036,7560.036,0.929706523,-0.070054657
360.036,7920.036,0.928744287,-0.070055033
360.036,8280.036,0.927864826,-0.070055385
360.036,8640.036,0.9270579,-0.070055714
360.036,9000.036,0.926314889,-0.070056023
360.036,9360.036,0.925628488,-0.070056313
360.036,9720.036,0.924992465,-0.070056586
360.036,10080.036,0.924401469,-0.070056843
360.036,10440.036,0.923850881,-0.070057086
360.036,10800.036,0.923336695,-0.070057315
360.036,11160.036,0.922855415,-0.070057532
360.036,11520.036,0.922403981,-0.070057738
360.036,11880.036,0.921979699,-0.070057933
360.036,12240.036,0.921580192,-0.070058118
360.036,12600.036,0.92120335,-0.070058294
360.036,12960.036,0.920847299,-0.070058461
360.036,13320.036,0.920510363,-0.070058621
360.036,13680.036,0.920191044,-0.070058773
360.036,14040.036,0.919887994,-0.070058919
360.036,14400.036,0.919600002,-0.070059058
360.036,14760.036,0.919325973,-0.070059191
360.036,15120.036,0.919064914,-0.070059319
360.036,15480.036,0.918815927,-0.070059441
360.036,15840.036,0.918578192,-0.070059558
360.036,16200.036,0.918350965,-0.070059671
