alpha_1,alpha_2,Imag,Real
0.036,0.036,0.906010336,-0.08803681
0.036,360.036,0.908249955,-0.070058245
0.036,720.036,0.908272541,-0.070061662
0.036,1080.036,0.908280068,-0.070062814
0.036,1440.036,0.908283831,-0.070063393
0.036,1800.036,0.908286088,-0.07006374
0.036,2160.036,0.908287593,-0.070063973
0.036,2520.036,0.908288668,-0.070064139
0.036,2880.036,0.908289474,-0.070064263
0.036,3240.036,0.908290102,-0.07006436
0.036,3600.036,0.908290603,-0.070064438
0.036,3960.036,0.908291014,-0.070064501
0.036,4320.036,0.908291356,-0.070064554
0.036,4680.036,0.908291645,-0.070064599
0.036,5040.036,0.908291893,-0.070064637
0.036,5400.036,0.908292108,-0.070064671
0.036,5760.036,0.908292296,-0.0700647
0.036,6120.036,0.908292462,-0.070064725
0.036,6480.036,0.90829261,-0.070064748
0.036,6840.036,0.908292742,-0.070064769
0.036,7200.036,0.908292861,-0.070064787
0.036,7560.036,0.908292968,-0.070064804
0.036,7920.036,0.908293066,-0.070064819
0.036,8280.036,0.908293155,-0.070064833
0.036,8640.036,0.908293237,-0.070064845
0.036,9000.036,0.908293312,-0.070064857
0.036,9360.036,0.908293381,-0.070064868
0.036,9720.036,0.908293446,-0.070064878
0.036,10080.036,0.908293505,-0.070064887
0.036,10440.036,0.908293561,-0.070064896
0.036,10800.036,0.908293613,-0.070064904
0.036,11160.036,0.908293661,-0.070064911
0.036,11520.036,0.908293707,-0.070064918
0.036,11880.036,0.90829375,-0.070064925
0.036,12240.036,0.90829379,-0.070064931
0.036,12600.036,0.908293828,-0.070064937
0.036,12960.036,0.908293864,-0.070064943
0.036,13320.036,0.908293898,-0.070064948
0.036,13680.036,0.90829393,-0.070064953
0.036,14040.036,0.90829396,-0.070064958
0.036,14400.036,0.908293989,-0.070064962
0.036,14760.036,0.908294017,-0.070064966
0.036,15120.036,0.908294043,-0.07006497
0.036,15480.036,0.908294068,-0.070064974
0.036,15840.036,0.908294092,-0.070064978
0.036,16200.036,0.908294115,-0.070064981
0.036,16560.036,0.908294136,-0.070064985
0.036,16920.036,0.908294157,-0.070064988
0.036,17280.036,0.908294177,-0.070064991
0.036,17640.036,0.908294196,-0.070064994
0.036,18000.036,0.908294215,-0.070064997
0.036,18360.036,0.908294233,-0.070065
0.036,18720.036,0.90829425,-0.070065002
0.036,19080.036,0.908294266,-0.070065005
0.036,19440.036,0.908294282,-0.070065007
0.036,19800.036,0.908294297,-0.07006501
0.036,20160.036,0.908294312,-0.070065012
0.036,20520.036,0.908294326,-0.070065014
0.036,20880.036,0.908294339,-0.070065016
0.036,21240.036,0.908294353,-0.070065018
0.036,21600.036,0.908294365,-0.07006502
0.036,21960.036,0.908294378,-0.070065022
0.036,22320.036,0.90829439,-0.070065024
0.036,22680.036,0.908294401,-0.070065026
0.036,23040.036,0.908294412,-0.070065028
0.036,23400.036,0.908294423,-0.070065029
0.036,23760.036,0.908294434,-0.070065031
0.036,24120.036,0.908294444,-0.070065033
0.036,24480.036,0.908294454,-0.070065034
0.036,24840.036,0.908294464,-0.070065036
0.036,25200.036,0.908294473,-0.070065037
0.036,25560.036,0.908294482,-0.070065038
0.036,25920.036,0.908294491,-0.07006504
0.036,26280.036,0.908294499,-0.070065041
0.036,26640.036,0.908294508,-0.070065042
0.036,27000.036,0.908294516,-0.070065044
0.036,27360.036,0.908294524,-0.070065045
0.036,27720.036,0.908294531,-0.070065046
0.036,28080.036,0.908294539,-0.070065047
0.036,28440.036,0.908294546,-0.070065048
0.036,28800.036,0.908294553,-0.07006505
0.036,29160.036,0.90829456,-0.070065051
0.036,29520.036,0.908294567,-0.070065052
0.036,29880.036,0.908294574,-0.070065053
0.036,30240.036,0.90829458,-0.070065054
0.036,30600.036,0.908294587,-0.070065055
0.036,30960.036,0.908294593,-0.070065056
0.036,31320.036,0.908294599,-0.070065057
0.036,31680.036,0.908294605,-0.070065058
0.036,32040.036,0.908294611,-0.070065058
0.036,32400.036,0.908294616,-0.070065059
0.036,32760.036,0.908294622,-0.07006506
0.036,33120.036,0.908294627,-0.070065061
0.036,33480.036,0.908294632,-0.070065062
0.036,33840.036,0.908294638,-0.070065063
0.036,34200.036,0.908294643,-0.070065063
0.036,34560.036,0.908294648,-0.070065064
0.036,34920.036,0.908294652,-0.070065065
0.036,35280.036,0.908294657,-0.070065066
0.036,35640.036,0.908294662,-0.070065066
360.036,0.036,0.00903325,-0.001158868
360.036,360.036,0.643169677,-0.035317323
360.036,720.036,0.742324867,-0.046835379
360.036,1080.036,0.787170684,-0.052618749
360.036,1440.036,0.812871605,-0.056096509
360.036,1800.036,0.829555059,-0.058418228
360.036,2160.036,0.841265245,-0.060078167
360.036,2520.036,0.849939816,-0.061323978
360.036,2880.036,0.856624679,-0.06229345
360.036,3240.036,0.861934425,-0.063069346
360.036,3600.036,0.866254016,-0.063704381
360.036,3960.036,0.86983692,-0.064233721
360.036,4320.036,0.872856858,-0.064681728
360.036,4680.036,0.875436894,-0.065065808
360.036,5040.036,0.877666648,-0.065398734
360.036,5400.036,0.879612937,-0.065690086
360.036,5760.036,0.881326598,-0.065947195
360.036,6120.036,0.882846994,-0.066175762
360.036,6480.036,0.884205079,-0.06638029
360.036,6840.036,0.885425532,-0.066564382
360.036,7200.036,0.886528269,-0.066730956
360.036,7560.036,0.88752954,-0.066882397
360.036,7920.036,0.888442734,-0.067020679
360.036,8280.036,0.889278985,-0.067147445
360.036,8640.036,0.890047625,-0.067264077
360.036,9000.036,0.890756537,-0.067371742
360.036,9360.036,0.891412421,-0.067471437
360.036,9720.036,0.892021014,-0.067564015
360.036,10080.036,0.892587253,-0.067650213
360.036,10440.036,0.893115411,-0.067730666
360.036,10800.036,0.893609204,-0.067805932
360.036,11160.036,0.894071882,-0.067876496
360.036,11520.036,0.894506295,-0.067942786
360.036,11880.036,0.894914958,-0.068005178
360.036,12240.036,0.895300093,-0.068064007
360.036,12600.036,0.895663675,-0.068119569
360.036,12960.036,0.896007466,-0.068172128
360.036,13320.036,0.896333038,-0.068221923
360.036,13680.036,0.896641801,-0.068269165
360.036,14040.036,0.896935026,-0.068314046
360.036,14400.036,0.897213856,-0.068356739
360.036,14760.036,0.897479326,-0.068397399
360.036,15120.036,0.897732373,-0.068436169
360.036,15480.036,0.89797385,-0.068473177
360.036,15840.036,0.898204532,-0.068508542
360.036,16200.036,0.898425129,-0.068542369
360.036,16560.036,0.898636286,-0.068574757
360.036,16920.036,0.898838597,-0.068605796
360.036,17280.036,0.899032606,-0.068635568
360.036,17640.036,0.899218815,-0.06866415
360.036,18000.036,0.899397684,-0.068691612
360.036,18360.036,0.89956964,-0.068718018
360.036,18720.036,0.899735075,-0.068743427
360.036,19080.036,0.899894353,-0.068767896
360.036,19440.036,0.900047811,-0.068791475
360.036,19800.036,0.900195764,-0.068814212
360.036,20160.036,0.900338502,-0.068836152
360.036,20520.036,0.900476296,-0.068857336
360.036,20880.036,0.900609398,-0.068877801
360.036,21240.036,0.900738044,-0.068897585
360.036,21600.036,0.900862455,-0.06891672
360.036,21960.036,0.900982835,-0.068935238
360.036,22320.036,0.901099378,-0.068953168
360.036,22680.036,0.901212265,-0.068970538
360.036,23040.036,0.901321664,-0.068987374
360.036,23400.036,0.901427735,-0.0690037
360.036,23760.036,0.901530628,-0.069019538
360.036,24120.036,0.901630482,-0.069034911
360.036,24480.036,0.901727432,-0.069049838
360.036,24840.036,0.901821601,-0.069064339
360.036,25200.036,0.901913109,-0.069078432
360.036,25560.036,0.902002065,-0.069092133
360.036,25920.036,0.902088575,-0.069105459
360.036,26280.036,0.902172739,-0.069118425
360.036,26640.036,0.902254651,-0.069131045
360.036,27000.036,0.9023344,-0.069143333
360.036,27360.036,0.902412071,-0.069155302
360.036,27720.036,0.902487743,-0.069166964
360.036,28080.036,0.902561494,-0.069178331
360.036,28440.036,0.902633394,-0.069189414
360.036,28800.036,0.902703514,-0.069200223
360.036,29160.036,0.902771918,-0.069210768
360.036,29520.036,0.902838669,-0.06922106
360.036,29880.036,0.902903826,-0.069231107
360.036,30240.036,0.902967445,-0.069240917
360.036,30600.036,0.90302958,-0.069250499
360.036,30960.036,0.903090282,-0.069259861
360.036,31320.036,0.903149601,-0.06926901
360.036,31680.036,0.903207582,-0.069277954
360.036,32040.036,0.903264272,-0.069286699
360.036,32400.036,0.903319712,-0.069295251
360.036,32760.036,0.903373944,-0.069303618
360.036,33120.036,0.903427006,-0.069311805
360.036,33480.036,0.903478936,-0.069319818
360.036,33840.036,0.903529769,-0.069327662
360.036,34200.036,0.903579541,-0.069335343
360.036,34560.036,0.903628284,-0.069342865
360.036,34920.036,0.90367603,-0.069350234
360.036,35280.036,0.903722808,-0.069357454
360.036,35640.036,0.903768649,-0.06936453
720.036,0.036,0.006414619,-0.00057963
720.036,360.036,0.525418304,-0.023609929
720.036,720.036,0.643192978,-0.035174947
720.036,1080.036,0.704380449,-0.04212971
720.036,1440.036,0.742339914,-0.046772733
720.036,1800.036,0.76828936,-0.050092353
720.036,2160.036,0.787181093,-0.052583799
720.036,2520.036,0.801561521,-0.054522614
720.036,2880.036,0.812879363,-0.056074308
720.036,3240.036,0.82202132,-0.057344301
720.036,3600.036,0.82956116,-0.05840292
720.036,3960.036,0.835886844,-0.059298882
720.036,4320.036,0.841270232,-0.060066999
720.036,4680.036,0.84590755,-0.060732813
720.036,5040.036,0.849944012,-0.061315486
720.036,5400.036,0.853489408,-0.061829676
720.036,5760.036,0.856628288,-0.062286786
720.036,6120.036,0.859426832,-0.06269582
720.036,6480.036,0.861937584,-0.063063985
720.036,6840.036,0.864202793,-0.063397113
720.036,7200.036,0.86625682,-0.06369998
720.036,7560.036,0.868127897,-0.063976529
720.036,7920.036,0.869839437,-0.064230049
720.036,8280.036,0.871411018,-0.0644633
720.036,8640.036,0.87285914,-0.06467862
720.036,9000.036,0.874197806,-0.064878
720.036,9360.036,0.875438979,-0.065063146
720.036,9720.036,0.876592938,-0.065235532
720.036,10080.036,0.877668566,-0.065396431
720.036,10440.036,0.87867358,-0.065546955
720.036,10800.036,0.879614713,-0.065688076
720.036,11160.036,0.88049787,-0.065820649
720.036,11520.036,0.88132825,-0.065945427
720.036,11880.036,0.882110447,-0.066063078
720.036,12240.036,0.882848538,-0.066174196
720.036,12600.036,0.883546151,-0.06627931
720.036,12960.036,0.884206528,-0.066378894
720.036,13320.036,0.884832573,-0.066473374
720.036,13680.036,0.885426897,-0.066563131
720.036,14040.036,0.88599185,-0.066648512
720.036,14400.036,0.886529559,-0.066729829
720.036,14760.036,0.887041946,-0.066807365
720.036,15120.036,0.887530762,-0.066881378
720.036,15480.036,0.887997594,-0.066952102
720.036,15840.036,0.888443895,-0.067019753
720.036,16200.036,0.888870989,-0.067084526
720.036,16560.036,0.889280091,-0.067146601
720.036,16920.036,0.889672314,-0.067206143
720.036,17280.036,0.890048681,-0.067263304
720.036,17640.036,0.890410135,-0.067318225
720.036,18000.036,0.890757546,-0.067371033
720.036,18360.036,0.891091716,-0.06742185
720.036,18720.036,0.891413388,-0.067470785
720.036,19080.036,0.89172325,-0.067517941
720.036,19440.036,0.892021942,-0.067563413
720.036,19800.036,0.892310056,-0.067607291
720.036,20160.036,0.892588145,-0.067649655
720.036,20520.036,0.892856723,-0.067690584
720.036,20880.036,0.89311627,-0.06773015
720.036,21240.036,0.893367233,-0.067768418
720.036,21600.036,0.893610032,-0.067805452
720.036,21960.036,0.893845059,-0.067841311
720.036,22320.036,0.894072681,-0.067876049
720.036,22680.036,0.894293243,-0.067909719
720.036,23040.036,0.894507068,-0.067942369
720.036,23400.036,0.89471446,-0.067974044
720.036,23760.036,0.894915705,-0.068004788
720.036,24120.036,0.895111072,-0.068034641
720.036,24480.036,0.895300816,-0.068063642
720.036,24840.036,0.895485176,-0.068091825
720.036,25200.036,0.895664377,-0.068119226
720.036,25560.036,0.895838633,-0.068145876
720.036,25920.036,0.896008147,-0.068171807
720.036,26280.036,0.896173108,-0.068197046
720.036,26640.036,0.896333699,-0.06822162
720.036,27000.036,0.89649009,-0.068245557
720.036,27360.036,0.896642444,-0.06826888
720.036,27720.036,0.896790915,-0.068291613
720.036,28080.036,0.896935651,-0.068313778
720.036,28440.036,0.897076789,-0.068335395
720.036,28800.036,0.897214464,-0.068356485
720.036,29160.036,0.8973488,-0.068377067
720.036,29520.036,0.897479918,-0.068397159
720.036,29880.036,0.897607932,-0.068416779
720.036,30240.036,0.89773295,-0.068435942
720.036,30600.036,0.897855078,-0.068454665
720.036,30960.036,0.897974413,-0.068472963
720.036,31320.036,0.898091051,-0.068490849
720.036,31680.036,0.898205082,-0.068508338
720.036,32040.036,0.898316592,-0.068525442
720.036,32400.036,0.898425665,-0.068542175
720.036,32760.036,0.898532379,-0.068558548
720.036,33120.036,0.89863681,-0.068574573
720.036,33480.036,0.89873903,-0.068590261
720.036,33840.036,0.898839109,-0.068605621
720.036,34200.036,0.898937113,-0.068620665
720.036,34560.036,0.899033107,-0.068635402
720.036,34920.036,0.899127152,-0.068649842
720.036,35280.036,0.899219305,-0.068663992
720.036,35640.036,0.899309625,-0.068677863
1080.036,0.036,0.00524489,-0.000386464
1080.036,360.036,0.455146318,-0.017731985
1080.036,720.036,0.57546361,-0.028163341
1080.036,1080.036,0.643200767,-0.035127488
1080.036,1440.036,0.687468035,-0.040106697
1080.036,1800.036,0.718859459,-0.043843726
1080.036,2160.036,0.742344939,-0.046751852
1080.036,2520.036,0.760603408,-0.049079325
1080.036,2880.036,0.77521717,-0.050984263
1080.036,3240.036,0.787184567,-0.05257215
1080.036,3600.036,0.797168036,-0.05391606
1080.036,3960.036,0.805625041,-0.05506821
1080.036,4320.036,0.812881952,-0.056066909
1080.036,4680.036,0.819178009,-0.0569409
1080.036,5040.036,0.824692663,-0.057712168
1080.036,5400.036,0.829563195,-0.058397818
1080.036,5760.036,0.833896445,-0.059011358
1080.036,6120.036,0.837776819,-0.059563594
1080.036,6480.036,0.841271895,-0.060063277
1080.036,6840.036,0.844436425,-0.060517568
1080.036,7200.036,0.847315242,-0.060932384
1080.036,7560.036,0.849945412,-0.061312656
1080.036,7920.036,0.852357848,-0.061662526
1080.036,8280.036,0.854578539,-0.0619855
1080.036,8640.036,0.856629492,-0.062284565
1080.036,9000.036,0.858529466,-0.06256228
1080.036,9360.036,0.860294554,-0.062820853
1080.036,9720.036,0.861938637,-0.063062198
1080.036,10080.036,0.863473755,-0.06328798
1080.036,10440.036,0.864910398,-0.063499658
1080.036,10800.036,0.866257755,-0.063698513
1080.036,11160.036,0.867523901,-0.063885677
1080.036,11520.036,0.868715968,-0.06406215
1080.036,11880.036,0.869840276,-0.064228824
1080.036,12240.036,0.870902445,-0.064386493
1080.036,12600.036,0.87190749,-0.064535867
1080.036,12960.036,0.872859901,-0.064677584
1080.036,13320.036,0.873763707,-0.064812217
1080.036,13680.036,0.87462254,-0.064940286
1080.036,14040.036,0.875439674,-0.065062259
1080.036,14400.036,0.876218077,-0.065178561
