alpha_1,alpha_2,Imag,Real
35640.036,0.036,0,-0.011926825
35280.036,0.036,0,-0.012048554
34920.036,0.036,0,-0.012172793
34560.036,0.036,0,-0.012299621
34200.036,0.036,0,-0.01242912
33840.036,0.036,0,-0.012561375
33480.036,0.036,0,-0.012696474
33120.036,0.036,0,-0.012834512
32760.036,0.036,0,-0.012975583
32400.036,0.036,0,-0.013119791
32040.036,0.036,0,-0.01326724
31680.036,0.036,0,-0.01341804
31320.036,0.036,0,-0.013572309
30960.036,0.036,0,-0.013730166
30600.036,0.036,0,-0.013891738
30240.036,0.036,0,-0.014057158
29880.036,0.036,0,-0.014226565
29520.036,0.036,0,-0.014400105
29160.036,0.036,0,-0.014577931
28800.036,0.036,0,-0.014760204
28440.036,0.036,0,-0.014947093
28080.036,0.036,0,-0.015138775
27720.036,0.036,0,-0.015335437
27360.036,0.036,0,-0.015537276
27000.036,0.036,0,-0.015744499
26640.036,0.036,0,-0.015957325
26280.036,0.036,0,-0.016175983
25920.036,0.036,0,-0.016400716
25560.036,0.036,0,-0.016631782
25200.036,0.036,0,-0.016869452
24840.036,0.036,0,-0.017114013
24480.036,0.036,0,-0.01736577
24120.036,0.036,0,-0.017625044
23760.036,0.036,0,-0.017892177
23400.036,0.036,0,-0.018167533
23040.036,0.036,0,-0.018451496
22680.036,0.036,0,-0.018744477
22320.036,0.036,0,-0.019046913
21960.036,0.036,0,-0.019359268
21600.036,0.036,0,-0.019682039
21240.036,0.036,0,-0.020015755
20880.036,0.036,0,-0.020360984
20520.036,0.036,0,-0.02071833
20160.036,0.036,0,-0.021088443
19800.036,0.036,0,-0.021472021
19440.036,0.036,0,-0.021869811
19080.036,0.036,0,-0.022282618
18720.036,0.036,0,-0.022711309
18360.036,0.036,0,-0.023156819
18000.036,0.036,0,-0.023620157
17640.036,0.036,0,-0.024102415
17280.036,0.036,0,-0.024604777
16920.036,0.036,0,-0.025128526
16560.036,0.036,0,-0.025675058
16200.036,0.036,0,-0.026245892
15840.036,0.036,0,-0.026842687
15480.036,0.036,0,-0.027467254
15120.036,0.036,0,-0.028121577
14760.036,0.036,0,-0.028807837
14400.036,0.036,0,-0.029528429
14040.036,0.036,0,-0.030285996
13680.036,0.036,0,-0.031083459
13320.036,0.036,0,-0.031924054
12960.036,0.036,0,-0.032811378
12600.036,0.036,0,-0.033749439
12240.036,0.036,0,-0.034742718
11880.036,0.036,0,-0.035796237
11520.036,0.036,0,-0.036915648
11160.036,0.036,0,-0.038107333
10800.036,0.036,0,-0.039378524
10440.036,0.036,0,-0.040737454
10080.036,0.036,0,-0.042193531
9720.036,0.036,0,-0.043757558
9360.036,0.036,0,-0.045442004
9000.036,0.036,0,-0.047261332
8640.036,0.036,0,-0.04923242
8280.036,0.036,0,-0.051375084
7920.036,0.036,0,-0.053712747
7560.036,0.036,0,-0.056273299
7200.036,0.036,0,-0.059090216
6840.036,0.036,0,-0.062204031
6480.036,0.036,0,-0.065664297
6120.036,0.036,0,-0.069532246
5760.036,0.036,0,-0.073884445
5400.036,0.036,0,-0.078817917
5040.036,0.036,0,-0.084457461
4680.036,0.036,0,-0.090966363
4320.036,0.036,0,-0.098562475
3960.036,0.036,0,-0.107543087
3600.036,0.036,0,-0.118324786
3240.036,0.036,0,-0.131509989
2880.036,0.036,0,-0.14800363
2520.036,0.036,0,-0.169230474
2160.036,0.036,0,-0.197571428
1800.036,0.036,0,-0.23732892
1440.036,0.036,0,-0.297162621
1080.036,0.036,0,-0.397524907
720.036,0.036,0,-0.601817629
0.036,35640.036,9.18E-06,-7.09E-07
0.036,35280.036,9.28E-06,-7.16E-07
0.036,34920.036,9.37E-06,-7.24E-07
0.036,34560.036,9.47E-06,-7.31E-07
0.036,34200.036,9.57E-06,-7.39E-07
