alpha_1,alpha_2,imaginary part,real part
360.036,0.036,0,-0.047973993
35640.036,0.036,0.00830722,-0.000972212
35280.036,0.036,0.008348911,-0.000982132
34920.036,0.036,0.008391236,-0.000992257
34560.036,0.036,0.008434211,-0.001002592
34200.036,0.036,0.008477853,-0.001013145
33840.036,0.036,0.00852218,-0.001023923
33480.036,0.036,0.008567209,-0.001034933
33120.036,0.036,0.008612959,-0.001046181
32760.036,0.036,0.00865945,-0.001057677
32400.036,0.036,0.008706701,-0.001069429
32040.036,0.036,0.008754735,-0.001081445
31680.036,0.036,0.008803572,-0.001093733
31320.036,0.036,0.008853235,-0.001106304
30960.036,0.036,0.008903748,-0.001119168
30600.036,0.036,0.008955135,-0.001132334
30240.036,0.036,0.009007422,-0.001145813
29880.036,0.036,0.009060636,-0.001159618
29520.036,0.036,0.009114803,-0.001173759
29160.036,0.036,0.009169954,-0.001188249
28800.036,0.036,0.009226117,-0.001203101
28440.036,0.036,0.009283325,-0.00121833
28080.036,0.036,0.00934161,-0.001233949
27720.036,0.036,0.009401006,-0.001249973
27360.036,0.036,0.009461549,-0.00126642
27000.036,0.036,0.009523276,-0.001283304
26640.036,0.036,0.009586227,-0.001300645
26280.036,0.036,0.009650443,-0.001318462
25920.036,0.036,0.009715966,-0.001336773
25560.036,0.036,0.009782841,-0.001355599
25200.036,0.036,0.009851116,-0.001374964
24840.036,0.036,0.00992084,-0.00139489
24480.036,0.036,0.009992065,-0.001415402
24120.036,0.036,0.010064845,-0.001436526
23760.036,0.036,0.010139238,-0.001458291
23400.036,0.036,0.010215304,-0.001480725
23040.036,0.036,0.010293108,-0.00150386
22680.036,0.036,0.010372715,-0.001527729
22320.036,0.036,0.010454197,-0.001552368
21960.036,0.036,0.010537629,-0.001577816
21600.036,0.036,0.01062309,-0.001604111
21240.036,0.036,0.010710662,-0.001631297
20880.036,0.036,0.010800435,-0.001659421
20520.036,0.036,0.010892502,-0.001688532
20160.036,0.036,0.010986962,-0.001718683
19800.036,0.036,0.01108392,-0.001749929
19440.036,0.036,0.01118349,-0.001782333
19080.036,0.036,0.01128579,-0.00181596
18720.036,0.036,0.011390946,-0.00185088
18360.036,0.036,0.011499095,-0.001887169
18000.036,0.036,0.01161038,-0.00192491
17640.036,0.036,0.011724957,-0.00196419
17280.036,0.036,0.01184299,-0.002005108
16920.036,0.036,0.011964657,-0.002047767
16560.036,0.036,0.012090147,-0.00209228
16200.036,0.036,0.012219666,-0.002138771
15840.036,0.036,0.012353432,-0.002187375
15480.036,0.036,0.012491683,-0.00223824
15120.036,0.036,0.012634675,-0.002291527
14760.036,0.036,0.012782684,-0.002347413
14400.036,0.036,0.012936012,-0.002406093
14040.036,0.036,0.013094982,-0.002467782
13680.036,0.036,0.013259949,-0.002532717
13320.036,0.036,0.0134313,-0.002601162
12960.036,0.036,0.013609456,-0.002673409
12600.036,0.036,0.013794878,-0.002749785
12240.036,0.036,0.013988073,-0.002830652
11880.036,0.036,0.014189598,-0.00291642
11520.036,0.036,0.014400068,-0.003007548
11160.036,0.036,0.014620162,-0.003104554
10800.036,0.036,0.014850634,-0.003208026
10440.036,0.036,0.015092322,-0.003318634
10080.036,0.036,0.015346165,-0.003437141
9720.036,0.036,0.01561321,-0.003564426
9360.036,0.036,0.015894639,-0.0037015
9000.036,0.036,0.016191782,-0.003849538
