alpha_1,alpha_2,Imag,Real
0.036,0.036,18.68550769,-6.727439461
0.036,360.036,18.68868767,-6.708930832
0.036,720.036,18.68915695,-6.708864284
0.036,1080.036,18.68931605,-6.708847576
0.036,1440.036,18.68939606,-6.708840286
0.036,1800.036,18.68944421,-6.708836257
0.036,2160.036,18.68947638,-6.708833716
0.036,2520.036,18.68949938,-6.708831973
0.036,2880.036,18.68951664,-6.708830705
0.036,3240.036,18.68953008,-6.708829741
0.036,3600.036,18.68954084,-6.708828985
0.036,3960.036,18.68954964,-6.708828377
0.036,4320.036,18.68955698,-6.708827876
0.036,4680.036,18.6895632,-6.708827457
0.036,5040.036,18.68956852,-6.708827102
0.036,5400.036,18.68957314,-6.708826796
0.036,5760.036,18.68957718,-6.708826531
0.036,6120.036,18.68958075,-6.708826298
0.036,6480.036,18.68958392,-6.708826093
0.036,6840.036,18.68958675,-6.70882591
0.036,7200.036,18.68958931,-6.708825746
0.036,7560.036,18.68959162,-6.708825598
0.036,7920.036,18.68959372,-6.708825465
0.036,8280.036,18.68959564,-6.708825343
0.036,8640.036,18.68959739,-6.708825232
0.036,9000.036,18.68959901,-6.70882513
0.036,9360.036,18.68960051,-6.708825036
0.036,9720.036,18.68960189,-6.708824949
0.036,10080.036,18.68960317,-6.708824869
0.036,10440.036,18.68960437,-6.708824795
0.036,10800.036,18.68960549,-6.708824725
0.036,11160.036,18.68960653,-6.70882466
0.036,11520.036,18.68960751,-6.7088246
0.036,11880.036,18.68960843,-6.708824543
0.036,12240.036,18.68960929,-6.708824489
0.036,12600.036,18.68961011,-6.708824439
0.036,12960.036,18.68961088,-6.708824391
0.036,13320.036,18.68961161,-6.708824347
0.036,13680.036,18.6896123,-6.708824304
0.036,14040.036,18.68961296,-6.708824264
0.036,14400.036,18.68961358,-6.708824226
0.036,14760.036,18.68961417,-6.70882419
0.036,15120.036,18.68961474,-6.708824155
0.036,15480.036,18.68961527,-6.708824122
0.036,15840.036,18.68961579,-6.708824091
0.036,16200.036,18.68961628,-6.708824061
0.036,16560.036,18.68961675,-6.708824033
0.036,16920.036,18.6896172,-6.708824005
0.036,17280.036,18.68961763,-6.708823979
0.036,17640.036,18.68961804,-6.708823954
0.036,18000.036,18.68961844,-6.70882393
0.036,18360.036,18.68961882,-6.708823907
0.036,18720.036,18.68961918,-6.708823885
0.036,19080.036,18.68961954,-6.708823863
0.036,19440.036,18.68961988,-6.708823843
0.036,19800.036,18.6896202,-6.708823823
0.036,20160.036,18.68962052,-6.708823804
0.036,20520.036,18.68962082,-6.708823785
0.036,20880.036,18.68962112,-6.708823768
0.036,21240.036,18.6896214,-6.708823751
0.036,21600.036,18.68962167,-6.708823734
0.036,21960.036,18.68962194,-6.708823718
0.036,22320.036,18.6896222,-6.708823703
0.036,22680.036,18.68962245,-6.708823688
0.036,23040.036,18.68962269,-6.708823673
0.036,23400.036,18.68962292,-6.708823659
0.036,23760.036,18.68962315,-6.708823645
0.036,24120.036,18.68962337,-6.708823632
0.036,24480.036,18.68962358,-6.708823619
0.036,24840.036,18.68962379,-6.708823607
0.036,25200.036,18.68962399,-6.708823595
0.036,25560.036,18.68962418,-6.708823583
0.036,25920.036,18.68962437,-6.708823572
0.036,26280.036,18.68962456,-6.708823561
0.036,26640.036,18.68962474,-6.70882355
0.036,27000.036,18.68962491,-6.708823539
0.036,27360.036,18.68962508,-6.708823529
0.036,27720.036,18.68962525,-6.708823519
0.036,28080.036,18.68962541,-6.70882351
0.036,28440.036,18.68962557,-6.7088235
0.036,28800.036,18.68962572,-6.708823491
0.036,29160.036,18.68962587,-6.708823482
0.036,29520.036,18.68962602,-6.708823473
0.036,29880.036,18.68962616,-6.708823465
0.036,30240.036,18.6896263,-6.708823456
0.036,30600.036,18.68962644,-6.708823448
0.036,30960.036,18.68962657,-6.70882344
0.036,31320.036,18.6896267,-6.708823433
0.036,31680.036,18.68962683,-6.708823425
0.036,32040.036,18.68962695,-6.708823418
0.036,32400.036,18.68962707,-6.70882341
0.036,32760.036,18.68962719,-6.708823403
0.036,33120.036,18.68962731,-6.708823396
0.036,33480.036,18.68962742,-6.70882339
0.036,33840.036,18.68962753,-6.708823383
0.036,34200.036,18.68962764,-6.708823376
0.036,34560.036,18.68962775,-6.70882337
0.036,34920.036,18.68962785,-6.708823364
0.036,35280.036,18.68962796,-6.708823358
0.036,35640.036,18.68962806,-6.708823352
360.036,0.036,0,-1.113973
360.036,360.036,12.58923908,-7.074792406
360.036,720.036,14.9594282,-6.935716473
360.036,1080.036,15.99655484,-6.872264947
360.036,1440.036,16.58143454,-6.836264587
360.036,1800.036,16.9573455,-6.813155819
360.036,2160.036,17.21940221,-6.79709523
360.036,2520.036,17.41255677,-6.785296961
360.036,2880.036,17.56083719,-6.776268509
360.036,3240.036,17.67825852,-6.769139704
360.036,3600.036,17.77354825,-6.763369546
360.036,3960.036,17.85242565,-6.758604264
360.036,4320.036,17.9187953,-6.754602891
360.036,4680.036,17.97541406,-6.751195683
360.036,5040.036,18.02428394,-6.748259647
360.036,5400.036,18.06689397,-6.745703506
360.036,5760.036,18.10437458,-6.743458099
360.036,6120.036,18.13759946,-6.741470077
360.036,6480.036,18.16725454,-6.73969763
360.036,6840.036,18.19388583,-6.738107529
360.036,7200.036,18.21793341,-6.736673038
360.036,7560.036,18.23975589,-6.735372398
360.036,7920.036,18.25964845,-6.734187724
360.036,8280.036,18.27785627,-6.733104179
360.036,8640.036,18.29458469,-6.732109352
360.036,9000.036,18.31000698,-6.731192783
360.036,9360.036,18.32427036,-6.730345591
360.036,9720.036,18.33750074,-6.729560191
360.036,10080.036,18.34980641,-6.728830065
360.036,10440.036,18.36128105,-6.728149577
360.036,10800.036,18.37200609,-6.727513835
360.036,11160.036,18.38205267,-6.726918568
360.036,11520.036,18.39148319,-6.726360031
360.036,11880.036,18.40035263,-6.725834927
360.036,12240.036,18.40870961,-6.725340343
360.036,12600.036,18.41659731,-6.724873694
360.036,12960.036,18.42405417,-6.724432679
360.036,13320.036,18.43111456,-6.724015243
360.036,13680.036,18.43780927,-6.723619545
360.036,14040.036,18.444166,-6.723243931
360.036,14400.036,18.45020971,-6.722886908
360.036,14760.036,18.45596297,-6.722547132
360.036,15120.036,18.46144622,-6.722223382
360.036,15480.036,18.46667804,-6.72191455
360.036,15840.036,18.47167533,-6.721619629
360.036,16200.036,18.47645352,-6.7213377
360.036,16560.036,18.48102671,-6.721067924
360.036,16920.036,18.48540781,-6.72080953
360.036,17280.036,18.48960868,-6.720561813
360.036,17640.036,18.49364021,-6.720324127
360.036,18000.036,18.49751244,-6.720095872
360.036,18360.036,18.50123464,-6.7198765
360.036,18720.036,18.50481535,-6.719665501
360.036,19080.036,18.50826249,-6.719462405
360.036,19440.036,18.51158339,-6.719266776
360.036,19800.036,18.51478488,-6.719078211
360.036,20160.036,18.51787327,-6.718896332
360.036,20520.036,18.52085445,-6.718720792
360.036,20880.036,18.52373392,-6.718551264
360.036,21240.036,18.52651678,-6.718387445
360.036,21600.036,18.52920783,-6.71822905
360.036,21960.036,18.53181153,-6.718075816
360.036,22320.036,18.53433206,-6.717927494
360.036,22680.036,18.53677335,-6.717783851
360.036,23040.036,18.53913908,-6.717644669
360.036,23400.036,18.5414327,-6.717509745
360.036,23760.036,18.54365746,-6.717378885
360.036,24120.036,18.54581641,-6.717251909
360.036,24480.036,18.54791244,-6.717128646
360.036,24840.036,18.54994825,-6.717008935
360.036,25200.036,18.5519264,-6.716892626
360.036,25560.036,18.5538493,-6.716779576
360.036,25920.036,18.55571925,-6.716669649
360.036,26280.036,18.55753839,-6.716562718
360.036,26640.036,18.55930878,-6.716458661
360.036,27000.036,18.56103234,-6.716357365
360.036,27360.036,18.5627109,-6.716258721
360.036,27720.036,18.56434622,-6.716162627
360.036,28080.036,18.56593993,-6.716068984
360.036,28440.036,18.5674936,-6.715977701
360.036,28800.036,18.56900873,-6.715888688
360.036,29160.036,18.57048674,-6.715801863
360.036,29520.036,18.57192896,-6.715717146
360.036,29880.036,18.57333669,-6.715634461
360.036,30240.036,18.57471114,-6.715553735
360.036,30600.036,18.57605348,-6.7154749
360.036,30960.036,18.57736484,-6.71539789
360.036,31320.036,18.57864625,-6.715322643
360.036,31680.036,18.57989875,-6.715249099
360.036,32040.036,18.58112329,-6.7151772
360.036,32400.036,18.58232081,-6.715106892
360.036,32760.036,18.58349218,-6.715038123
360.036,33120.036,18.58463826,-6.714970842
360.036,33480.036,18.58575986,-6.714905003
