alpha_1,alpha_2,imaginary,real
360.036,0.036,0,-0.481391957
720.036,0.036,0,-0.239064976
1080.036,0.036,0,-0.159149197
1440.036,0.036,0,-0.119290842
1800.036,0.036,0,-0.095401883
2160.036,0.036,0,-0.07948556
2520.036,0.036,0,-0.068121125
2880.036,0.036,0,-0.059600054
3240.036,0.036,0,-0.052973835
3600.036,0.036,0,-0.047673639
3960.036,0.036,0,-0.043337616
4320.036,0.036,0,-0.0397246
4680.036,0.036,0,-0.036667668
5040.036,0.036,0,-0.034047608
5400.036,0.036,0,-0.031777014
5760.036,0.036,0,-0.029790337
6120.036,0.036,0,-0.028037458
6480.036,0.036,0,-0.0264794
6840.036,0.036,0,-0.025085391
7200.036,0.036,0,-0.023830819
7560.036,0.036,0,-0.022695759
7920.036,0.036,0,-0.021663909
8280.036,0.036,0,-0.020721805
8640.036,0.036,0,-0.019858225
9000.036,0.036,0,-0.019063746
9360.036,0.036,0,-0.018330392
9720.036,0.036,0,-0.01765137
10080.036,0.036,0,-0.017020858
10440.036,0.036,0,-0.016433837
10800.036,0.036,0,-0.015885957
11160.036,0.036,0,-0.01537343
11520.036,0.036,0,-0.014892941
11880.036,0.036,0,-0.014441576
12240.036,0.036,0,-0.014016766
12600.036,0.036,0,-0.013616234
12960.036,0.036,0,-0.013237956
13320.036,0.036,0,-0.012880129
13680.036,0.036,0,-0.012541137
14040.036,0.036,0,-0.012219532
14400.036,0.036,0,-0.011914008
14760.036,0.036,0,-0.01162339
15120.036,0.036,0,-0.011346612
15480.036,0.036,0,-0.01108271
15840.036,0.036,0,-0.010830804
16200.036,0.036,0,-0.010590095
16560.036,0.036,0,-0.010359852
16920.036,0.036,0,-0.010139408
17280.036,0.036,0,-0.009928151
17640.036,0.036,0,-0.009725516
18000.036,0.036,0,-0.009530988
18360.036,0.036,0,-0.00934409
18720.036,0.036,0,-0.00916438
19080.036,0.036,0,-0.008991452
19440.036,0.036,0,-0.00882493
19800.036,0.036,0,-0.008664463
20160.036,0.036,0,-0.008509728
20520.036,0.036,0,-0.008360423
20880.036,0.036,0,-0.008216266
21240.036,0.036,0,-0.008076997
21600.036,0.036,0,-0.00794237
21960.036,0.036,0,-0.007812158
22320.036,0.036,0,-0.007686146
22680.036,0.036,0,-0.007564135
23040.036,0.036,0,-0.007445937
23400.036,0.036,0,-0.007331376
23760.036,0.036,0,-0.007220287
24120.036,0.036,0,-0.007112514
24480.036,0.036,0,-0.007007912
24840.036,0.036,0,-0.006906341
25200.036,0.036,0,-0.006807673
25560.036,0.036,0,-0.006711784
25920.036,0.036,0,-0.006618559
26280.036,0.036,0,-0.006527888
26640.036,0.036,0,-0.006439668
27000.036,0.036,0,-0.006353801
27360.036,0.036,0,-0.006270193
27720.036,0.036,0,-0.006188757
28080.036,0.036,0,-0.00610941
28440.036,0.036,0,-0.006032071
28800.036,0.036,0,-0.005956666
29160.036,0.036,0,-0.005883123
29520.036,0.036,0,-0.005811373
29880.036,0.036,0,-0.005741353
30240.036,0.036,0,-0.005673
30600.036,0.036,0,-0.005606255
30960.036,0.036,0,-0.005541063
31320.036,0.036,0,-0.005477369
31680.036,0.036,0,-0.005415123
32040.036,0.036,0,-0.005354276
32400.036,0.036,0,-0.005294781
32760.036,0.036,0,-0.005236594
33120.036,0.036,0,-0.005179671
33480.036,0.036,0,-0.005123973
33840.036,0.036,0,-0.00506946
34200.036,0.036,0,-0.005016095
34560.036,0.036,0,-0.004963842
34920.036,0.036,0,-0.004912666
35280.036,0.036,0,-0.004862534
35640.036,0.036,0,-0.004813416
35640.036,360.036,1.087704365,-0.704290942
35280.036,360.036,1.095457954,-0.704313756
34920.036,360.036,1.103313601,-0.704337028
34560.036,360.036,1.111273947,-0.704360774
34200.036,360.036,1.119341729,-0.704385006
33840.036,360.036,1.127519783,-0.704409741
33480.036,360.036,1.135811049,-0.704434995
33120.036,360.036,1.144218576,-0.704460783
32760.036,360.036,1.152745526,-0.704487123
32400.036,360.036,1.161395183,-0.704514033
32040.036,360.036,1.170170956,-0.704541531
31680.036,360.036,1.179076385,-0.704569638
31320.036,360.036,1.188115149,-0.704598373
30960.036,360.036,1.197291076,-0.704627758
30600.036,360.036,1.206608144,-0.704657814
30240.036,360.036,1.216070493,-0.704688566
29880.036,360.036,1.225682436,-0.704720038
29520.036,360.036,1.235448464,-0.704752255
29160.036,360.036,1.245373255,-0.704785244
28800.036,360.036,1.255461691,-0.704819033
28440.036,360.036,1.265718861,-0.704853652
28080.036,360.036,1.276150079,-0.704889131
27720.036,360.036,1.286760894,-0.704925504
27360.036,360.036,1.297557104,-0.704962803
27000.036,360.036,1.308544771,-0.705001066
26640.036,360.036,1.319730237,-0.705040329
26280.036,360.036,1.331120141,-0.705080633
25920.036,360.036,1.342721435,-0.70512202
25560.036,360.036,1.354541406,-0.705164533
25200.036,360.036,1.366587698,-0.705208219
24840.036,360.036,1.37886833,-0.705253128
24480.036,360.036,1.391391726,-0.705299311
24120.036,360.036,1.404166737,-0.705346824
23760.036,360.036,1.417202672,-0.705395724
23400.036,360.036,1.430509331,-0.705446074
23040.036,360.036,1.444097031,-0.705497939
22680.036,360.036,1.457976652,-0.705551388
22320.036,360.036,1.472159671,-0.705606495
21960.036,360.036,1.486658204,-0.705663338
21600.036,360.036,1.501485059,-0.705722
21240.036,360.036,1.51665378,-0.70578257
20880.036,360.036,1.532178708,-0.705845143
20520.036,360.036,1.548075041,-0.70590982
20160.036,360.036,1.564358899,-0.705976708
19800.036,360.036,1.581047403,-0.706045923
19440.036,360.036,1.598158749,-0.706117588
19080.036,360.036,1.615712302,-0.706191835
18720.036,360.036,1.633728694,-0.706268807
18360.036,360.036,1.652229931,-0.706348656
18000.036,360.036,1.671239513,-0.706431547
35640.036,720.036,1.679958127,-0.704220287
35280.036,720.036,1.689794173,-0.704241683
17640.036,360.036,1.690782571,-0.706517656
34920.036,720.036,1.699770225,-0.704263496
34560.036,720.036,1.70988982,-0.704285736
17280.036,360.036,1.710886012,-0.706607175
34200.036,720.036,1.720156627,-0.704308417
33840.036,720.036,1.730574445,-0.704331551
16920.036,360.036,1.731578685,-0.706700309
33480.036,720.036,1.741147212,-0.704355154
33120.036,720.036,1.751879011,-0.704379238
16560.036,360.036,1.752891567,-0.706797282
32760.036,720.036,1.76277408,-0.704403819
32400.036,720.036,1.773836815,-0.704428912
16200.036,360.036,1.774857967,-0.706898336
32040.036,720.036,1.785071779,-0.704454534
31680.036,720.036,1.796483715,-0.704480701
15840.036,360.036,1.797513759,-0.707003734
31320.036,720.036,1.808077547,-0.704507431
30960.036,720.036,1.819858396,-0.704534742
15480.036,360.036,1.820897642,-0.707113762
30600.036,720.036,1.831831585,-0.704562654
30240.036,720.036,1.844002656,-0.704591185
15120.036,360.036,1.845051432,-0.707228731
29880.036,720.036,1.856377374,-0.704620358
29520.036,720.036,1.868961743,-0.704650194
14760.036,360.036,1.870020395,-0.707348982
29160.036,720.036,1.881762021,-0.704680715
28800.036,720.036,1.894784727,-0.704711946
14400.036,360.036,1.895853619,-0.707474886
28440.036,720.036,1.908036664,-0.704743912
28080.036,720.036,1.921524927,-0.704776638
14040.036,360.036,1.922604445,-0.707606851
27720.036,720.036,1.935256925,-0.704810152
27360.036,720.036,1.949240396,-0.704844483
13680.036,360.036,1.950330949,-0.707745324
27000.036,720.036,1.963483428,-0.704879662
26640.036,720.036,1.977994478,-0.704915718
