alpha_1,alpha_2,Imag,Real
0.036,0.036,8.43765426,-0.621289065
0.036,360.036,8.297440122,-0.60777234
0.036,720.036,8.297612931,-0.607793173
0.036,1080.036,8.297670385,-0.607801177
0.036,1440.036,8.297699081,-0.607805377
0.036,1800.036,8.297716288,-0.607807961
0.036,2160.036,8.297727755,-0.607809709
0.036,2520.036,8.297735943,-0.607810971
0.036,2880.036,8.297742083,-0.607811925
0.036,3240.036,8.297746858,-0.607812671
0.036,3600.036,8.297750678,-0.60781327
0.036,3960.036,8.297753802,-0.607813762
0.036,4320.036,8.297756406,-0.607814173
0.036,4680.036,8.297758609,-0.607814522
0.036,5040.036,8.297760497,-0.607814822
0.036,5400.036,8.297762134,-0.607815082
0.036,5760.036,8.297763565,-0.60781531
0.036,6120.036,8.297764828,-0.607815511
0.036,6480.036,8.297765951,-0.60781569
0.036,6840.036,8.297766956,-0.607815851
0.036,7200.036,8.29776786,-0.607815996
0.036,7560.036,8.297768678,-0.607816127
0.036,7920.036,8.297769422,-0.607816246
0.036,8280.036,8.297770101,-0.607816355
0.036,8640.036,8.297770723,-0.607816454
0.036,9000.036,8.297771295,-0.607816546
0.036,9360.036,8.297771824,-0.607816631
0.036,9720.036,8.297772313,-0.60781671
0.036,10080.036,8.297772768,-0.607816783
0.036,10440.036,8.297773191,-0.607816851
0.036,10800.036,8.297773586,-0.607816915
0.036,11160.036,8.297773955,-0.607816974
0.036,11520.036,8.297774301,-0.60781703
0.036,11880.036,8.297774626,-0.607817082
0.036,12240.036,8.297774933,-0.607817132
0.036,12600.036,8.297775221,-0.607817178
0.036,12960.036,8.297775494,-0.607817222
0.036,13320.036,8.297775752,-0.607817264
0.036,13680.036,8.297775996,-0.607817303
0.036,14040.036,8.297776228,-0.607817341
0.036,14400.036,8.297776448,-0.607817376
0.036,14760.036,8.297776657,-0.60781741
0.036,15120.036,8.297776857,-0.607817442
0.036,15480.036,8.297777047,-0.607817473
0.036,15840.036,8.297777229,-0.607817502
0.036,16200.036,8.297777402,-0.60781753
0.036,16560.036,8.297777568,-0.607817557
0.036,16920.036,8.297777727,-0.607817583
0.036,17280.036,8.297777879,-0.607817607
0.036,17640.036,8.297778025,-0.607817631
0.036,18000.036,8.297778165,-0.607817654
0.036,18360.036,8.2977783,-0.607817676
0.036,18720.036,8.29777843,-0.607817696
0.036,19080.036,8.297778554,-0.607817717
0.036,19440.036,8.297778674,-0.607817736
0.036,19800.036,8.29777879,-0.607817755
0.036,20160.036,8.297778901,-0.607817773
0.036,20520.036,8.297779009,-0.60781779
0.036,20880.036,8.297779113,-0.607817807
0.036,21240.036,8.297779213,-0.607817823
0.036,21600.036,8.29777931,-0.607817839
0.036,21960.036,8.297779404,-0.607817854
0.036,22320.036,8.297779495,-0.607817869
0.036,22680.036,8.297779583,-0.607817883
0.036,23040.036,8.297779668,-0.607817897
0.036,23400.036,8.29777975,-0.60781791
0.036,23760.036,8.297779831,-0.607817923
0.036,24120.036,8.297779908,-0.607817936
0.036,24480.036,8.297779984,-0.607817948
0.036,24840.036,8.297780057,-0.60781796
0.036,25200.036,8.297780128,-0.607817972
0.036,25560.036,8.297780197,-0.607817983
0.036,25920.036,8.297780264,-0.607817994
0.036,26280.036,8.29778033,-0.607818004
0.036,26640.036,8.297780393,-0.607818015
0.036,27000.036,8.297780455,-0.607818025
0.036,27360.036,8.297780515,-0.607818034
0.036,27720.036,8.297780574,-0.607818044
0.036,28080.036,8.297780631,-0.607818053
0.036,28440.036,8.297780687,-0.607818062
0.036,28800.036,8.297780741,-0.607818071
0.036,29160.036,8.297780794,-0.60781808
0.036,29520.036,8.297780846,-0.607818088
0.036,29880.036,8.297780896,-0.607818096
0.036,30240.036,8.297780946,-0.607818104
0.036,30600.036,8.297780994,-0.607818112
0.036,30960.036,8.297781041,-0.60781812
0.036,31320.036,8.297781087,-0.607818127
0.036,31680.036,8.297781131,-0.607818134
0.036,32040.036,8.297781175,-0.607818141
0.036,32400.036,8.297781218,-0.607818148
0.036,32760.036,8.29778126,-0.607818155
0.036,33120.036,8.297781301,-0.607818162
0.036,33480.036,8.297781341,-0.607818168
0.036,33840.036,8.297781381,-0.607818175
0.036,34200.036,8.297781419,-0.607818181
0.036,34560.036,8.297781457,-0.607818187
