alpha_1,alpha_2,imaginary,real
720.036,0.036,0,-0.600543978
1080.036,0.036,0,-0.396979589
1440.036,0.036,0,-0.296859704
1800.036,0.036,0,-0.237136283
2160.036,0.036,0,-0.197438167
2520.036,0.036,0,-0.16913282
2880.036,0.036,0,-0.147929003
3240.036,0.036,0,-0.131451107
3600.036,0.036,0,-0.118277144
3960.036,0.036,0,-0.107503748
4320.036,0.036,0,-0.098529443
4680.036,0.036,0,-0.090938235
5040.036,0.036,0,-0.08443322
5400.036,0.036,0,-0.078796809
5760.036,0.036,0,-0.073865901
6120.036,0.036,0,-0.069515824
6480.036,0.036,0,-0.065649653
6840.036,0.036,0,-0.062190891
7200.036,0.036,0,-0.059078361
7560.036,0.036,0,-0.056262548
7920.036,0.036,0,-0.053702953
8280.036,0.036,0,-0.051366125
8640.036,0.036,0,-0.049224193
9000.036,0.036,0,-0.047253751
9360.036,0.036,0,-0.045434996
9720.036,0.036,0,-0.043751061
10080.036,0.036,0,-0.04218749
10440.036,0.036,0,-0.040731823
10800.036,0.036,0,-0.039373263
11160.036,0.036,0,-0.038102406
11520.036,0.036,0,-0.036911024
11880.036,0.036,0,-0.03579189
12240.036,0.036,0,-0.034738623
12600.036,0.036,0,-0.033745575
12960.036,0.036,0,-0.032807726
13320.036,0.036,0,-0.031920597
13680.036,0.036,0,-0.031080181
14040.036,0.036,0,-0.030282885
14400.036,0.036,0,-0.029525472
14760.036,0.036,0,-0.028805022
15120.036,0.036,0,-0.028118895
15480.036,0.036,0,-0.027464695
15840.036,0.036,0,-0.026840243
16200.036,0.036,0,-0.026243556
16560.036,0.036,0,-0.025672822
16920.036,0.036,0,-0.025126385
17280.036,0.036,0,-0.024602724
17640.036,0.036,0,-0.024100445
18000.036,0.036,0,-0.023618265
18360.036,0.036,0,-0.023155
18720.036,0.036,0,-0.02270956
19080.036,0.036,0,-0.022280934
19440.036,0.036,0,-0.021868189
19800.036,0.036,0,-0.021470457
20160.036,0.036,0,-0.021086935
20520.036,0.036,0,-0.020716874
20880.036,0.036,0,-0.020359578
21240.036,0.036,0,-0.020014397
21600.036,0.036,0,-0.019680726
21960.036,0.036,0,-0.019357998
22320.036,0.036,0,-0.019045683
22680.036,0.036,0,-0.018743286
23040.036,0.036,0,-0.018450342
23400.036,0.036,0,-0.018166414
23760.036,0.036,0,-0.017891092
24120.036,0.036,0,-0.01762399
24480.036,0.036,0,-0.017364747
24840.036,0.036,0,-0.01711302
25200.036,0.036,0,-0.016868487
25560.036,0.036,0,-0.016630844
25920.036,0.036,0,-0.016399804
26280.036,0.036,0,-0.016175095
26640.036,0.036,0,-0.015956461
27000.036,0.036,0,-0.015743659
27360.036,0.036,0,-0.015536458
27720.036,0.036,0,-0.01533464
28080.036,0.036,0,-0.015137998
28440.036,0.036,0,-0.014946335
28800.036,0.036,0,-0.014759465
29160.036,0.036,0,-0.01457721
29520.036,0.036,0,-0.014399402
29880.036,0.036,0,-0.014225879
30240.036,0.036,0,-0.014056488
30600.036,0.036,0,-0.013891083
30960.036,0.036,0,-0.013729526
31320.036,0.036,0,-0.013571684
31680.036,0.036,0,-0.01341743
32040.036,0.036,0,-0.013266643
32400.036,0.036,0,-0.013119207
32760.036,0.036,0,-0.012975013
33120.036,0.036,0,-0.012833953
33480.036,0.036,0,-0.012695928
33840.036,0.036,0,-0.01256084
34200.036,0.036,0,-0.012428596
34560.036,0.036,0,-0.012299108
34920.036,0.036,0,-0.012172291
35280.036,0.036,0,-0.012048062
35640.036,0.036,0,-0.011926343
360.036,0.036,0.159645086,-1.276793923
0.036,35640.036,1.505614759,-0.69752643
0.036,35280.036,1.505614769,-0.69752643
0.036,34920.036,1.505614778,-0.69752643
0.036,34560.036,1.505614788,-0.69752643
0.036,34200.036,1.505614798,-0.69752643
0.036,33840.036,1.505614808,-0.69752643
0.036,33480.036,1.505614818,-0.69752643
0.036,33120.036,1.505614829,-0.69752643
0.036,32760.036,1.50561484,-0.69752643
0.036,32400.036,1.505614851,-0.697526429
0.036,32040.036,1.505614862,-0.697526429
0.036,31680.036,1.505614874,-0.697526429
0.036,31320.036,1.505614886,-0.697526429
0.036,30960.036,1.505614898,-0.697526429
0.036,30600.036,1.50561491,-0.697526429
0.036,30240.036,1.505614923,-0.697526429
0.036,29880.036,1.505614936,-0.697526429
0.036,29520.036,1.505614949,-0.697526429
0.036,29160.036,1.505614963,-0.697526428
0.036,28800.036,1.505614977,-0.697526428
0.036,28440.036,1.505614991,-0.697526428
0.036,28080.036,1.505615006,-0.697526428
0.036,27720.036,1.505615021,-0.697526428
0.036,27360.036,1.505615036,-0.697526428
0.036,27000.036,1.505615052,-0.697526428
0.036,26640.036,1.505615068,-0.697526427
0.036,26280.036,1.505615085,-0.697526427
0.036,25920.036,1.505615102,-0.697526427
0.036,25560.036,1.50561512,-0.697526427
0.036,25200.036,1.505615138,-0.697526427
0.036,24840.036,1.505615157,-0.697526427
0.036,24480.036,1.505615177,-0.697526426
0.036,24120.036,1.505615196,-0.697526426
0.036,23760.036,1.505615217,-0.697526426
0.036,23400.036,1.505615238,-0.697526426
0.036,23040.036,1.50561526,-0.697526426
0.036,22680.036,1.505615282,-0.697526425
0.036,22320.036,1.505615305,-0.697526425
0.036,21960.036,1.505615329,-0.697526425
0.036,21600.036,1.505615354,-0.697526425
0.036,21240.036,1.50561538,-0.697526424
0.036,20880.036,1.505615406,-0.697526424
0.036,20520.036,1.505615434,-0.697526424
0.036,20160.036,1.505615462,-0.697526424
0.036,19800.036,1.505615491,-0.697526423
0.036,19440.036,1.505615522,-0.697526423
0.036,19080.036,1.505615554,-0.697526423
0.036,18720.036,1.505615587,-0.697526422
0.036,18360.036,1.505615621,-0.697526422
0.036,18000.036,1.505615656,-0.697526422
0.036,17640.036,1.505615693,-0.697526421
0.036,17280.036,1.505615732,-0.697526421
0.036,16920.036,1.505615772,-0.697526421
0.036,16560.036,1.505615814,-0.69752642
0.036,16200.036,1.505615858,-0.69752642
0.036,15840.036,1.505615903,-0.697526419
0.036,15480.036,1.505615951,-0.697526419
0.036,15120.036,1.505616001,-0.697526418
0.036,14760.036,1.505616054,-0.697526418
0.036,14400.036,1.505616109,-0.697526417
0.036,14040.036,1.505616167,-0.697526417
0.036,13680.036,1.505616228,-0.697526416
0.036,13320.036,1.505616293,-0.697526416
0.036,12960.036,1.505616361,-0.697526415
0.036,12600.036,1.505616433,-0.697526414
0.036,12240.036,1.505616509,-0.697526414
0.036,11880.036,1.50561659,-0.697526413
0.036,11520.036,1.505616675,-0.697526412
0.036,11160.036,1.505616767,-0.697526411
0.036,10800.036,1.505616864,-0.69752641
0.036,10440.036,1.505616968,-0.697526409
0.036,10080.036,1.50561708,-0.697526408
0.036,9720.036,1.5056172,-0.697526407
0.036,9360.036,1.505617329,-0.697526406
0.036,9000.036,1.505617468,-0.697526404
0.036,8640.036,1.505617619,-0.697526403
0.036,8280.036,1.505617783,-0.697526402
0.036,7920.036,1.505617962,-0.6975264
0.036,7560.036,1.505618158,-0.697526398
0.036,7200.036,1.505618374,-0.697526396
0.036,6840.036,1.505618612,-0.697526394
0.036,6480.036,1.505618877,-0.697526391
0.036,6120.036,1.505619173,-0.697526389
0.036,5760.036,1.505619506,-0.697526385
0.036,5400.036,1.505619883,-0.697526382
0.036,5040.036,1.505620314,-0.697526378
0.036,4680.036,1.505620812,-0.697526374
0.036,4320.036,1.505621392,-0.697526368
0.036,3960.036,1.505622078,-0.697526362
