alpha_1,alpha_2,Im(lambda_4),Re(lambda_4),Re(lambda_3)
1.00E-05,1.00E-05,8.179995679,1.860009332,1.860009332
1.00E-05,0.05001,8.429811019,-0.515531338,-0.515531338
1.00E-05,0.10001,7.59787492,-0.606008733,-0.606008733
1.00E-05,0.15001,7.088385014,-0.638070323,-0.638070323
1.00E-05,0.20001,6.725317002,-0.654373779,-0.654373779
1.00E-05,0.25001,6.445494297,-0.664199124,-0.664199124
1.00E-05,0.30001,6.219148871,-0.670746349,-0.670746349
1.00E-05,0.35001,6.029930253,-0.675410589,-0.675410589
1.00E-05,0.40001,5.867916267,-0.67889594,-0.67889594
1.00E-05,0.45001,5.726646007,-0.681595549,-0.681595549
1.00E-05,0.50001,5.601684938,-0.683745897,-0.683745897
1.00E-05,0.55001,5.48986222,-0.68549761,-0.68549761
1.00E-05,0.60001,5.388835101,-0.686951091,-0.686951091
1.00E-05,0.65001,5.296825563,-0.688175793,-0.688175793
1.00E-05,0.70001,5.212453613,-0.689221258,-0.689221258
1.00E-05,0.75001,5.134627639,-0.690123758,-0.690123758
1.00E-05,0.80001,5.062469936,-0.690910446,-0.690910446
1.00E-05,0.85001,4.995264723,-0.691602041,-0.691602041
1.00E-05,0.90001,4.932420968,-0.692214628,-0.692214628
1.00E-05,0.95001,4.873445258,-0.692760874,-0.692760874
1.00E-05,1.00001,4.817921625,-0.69325089,-0.69325089
1.00E-05,1.05001,4.765496304,-0.693692845,-0.693692845
1.00E-05,1.10001,4.715866044,-0.694093406,-0.694093406
1.00E-05,1.15001,4.668769022,-0.694458068,-0.694458068
1.00E-05,1.20001,4.623977712,-0.694791401,-0.694791401
1.00E-05,1.25001,4.581293201,-0.695097233,-0.695097233
1.00E-05,1.30001,4.540540644,-0.695378798,-0.695378798
1.00E-05,1.35001,4.501565568,-0.695638845,-0.695638845
1.00E-05,1.40001,4.464230867,-0.695879724,-0.695879724
1.00E-05,1.45001,4.428414317,-0.696103458,-0.696103458
1.00E-05,1.50001,4.394006527,-0.696311796,-0.696311796
1.00E-05,1.55001,4.36090922,-0.696506257,-0.696506257
1.00E-05,1.60001,4.329033797,-0.696688171,-0.696688171
1.00E-05,1.65001,4.298300124,-0.6968587,-0.6968587
1.00E-05,1.70001,4.268635493,-0.697018871,-0.697018871
1.00E-05,1.75001,4.239973751,-0.69716959,-0.69716959
1.00E-05,1.80001,4.212254539,-0.697311661,-0.697311661
1.00E-05,1.85001,4.185422647,-0.697445802,-0.697445802
1.00E-05,1.90001,4.15942745,-0.69757265,-0.69757265
1.00E-05,1.95001,4.134222418,-0.69769278,-0.69769278
1.00E-05,2.00001,4.109764697,-0.697806705,-0.697806705
1.00E-05,2.05001,4.086014732,-0.697914891,-0.697914891
1.00E-05,2.10001,4.062935944,-0.698017755,-0.698017755
1.00E-05,2.15001,4.040494441,-0.698115678,-0.698115678
1.00E-05,2.20001,4.018658765,-0.698209003,-0.698209003
1.00E-05,2.25001,3.997399668,-0.698298045,-0.698298045
1.00E-05,2.30001,3.976689913,-0.698383087,-0.698383087
1.00E-05,2.35001,3.956504093,-0.698464392,-0.698464392
1.00E-05,2.40001,3.936818477,-0.698542198,-0.698542198
1.00E-05,2.45001,3.917610865,-0.698616725,-0.698616725
1.00E-05,2.50001,3.898860462,-0.698688172,-0.698688172
1.00E-05,2.55001,3.880547763,-0.698756726,-0.698756726
1.00E-05,2.60001,3.86265445,-0.698822557,-0.698822557
1.00E-05,2.65001,3.845163301,-0.698885823,-0.698885823
1.00E-05,2.70001,3.8280581,-0.69894667,-0.69894667
1.00E-05,2.75001,3.811323568,-0.699005231,-0.699005231
1.00E-05,2.80001,3.794945287,-0.699061633,-0.699061633
1.00E-05,2.85001,3.778909644,-0.699115992,-0.699115992
1.00E-05,2.90001,3.763203765,-0.699168416,-0.699168416
1.00E-05,2.95001,3.747815471,-0.699219005,-0.699219005
1.00E-05,3.00001,3.732733224,-0.699267853,-0.699267853
1.00E-05,3.05001,3.717946088,-0.699315048,-0.699315048
1.00E-05,3.10001,3.703443682,-0.699360671,-0.699360671
1.00E-05,3.15001,3.689216152,-0.699404799,-0.699404799
1.00E-05,3.20001,3.675254128,-0.699447504,-0.699447504
1.00E-05,3.25001,3.661548701,-0.699488853,-0.699488853
1.00E-05,3.30001,3.648091386,-0.699528909,-0.699528909
1.00E-05,3.35001,3.634874103,-0.699567731,-0.699567731
1.00E-05,3.40001,3.621889148,-0.699605375,-0.699605375
1.00E-05,3.45001,3.60912917,-0.699641893,-0.699641893
1.00E-05,3.50001,3.596587153,-0.699677334,-0.699677334
1.00E-05,3.55001,3.584256393,-0.699711745,-0.699711745
1.00E-05,3.60001,3.572130483,-0.69974517,-0.69974517
1.00E-05,3.65001,3.560203293,-0.699777651,-0.699777651
1.00E-05,3.70001,3.548468958,-0.699809225,-0.699809225
