alpha_1,alpha_2,Im(lambda_4),Re(lambda_4),Re(lambda_3)
1.00E-05,1.00E-05,5.35289424,1.224210405,1.224210405
1.00E-05,0.05001,7.78435746,-0.156123896,-0.156123896
1.00E-05,0.10001,7.250085298,-0.235585307,-0.235585307
1.00E-05,0.15001,6.859949317,-0.268470982,-0.268470982
1.00E-05,0.20001,6.561174828,-0.286666058,-0.286666058
1.00E-05,0.25001,6.321500459,-0.298259749,-0.298259749
1.00E-05,0.30001,6.122594415,-0.306305175,-0.306305175
1.00E-05,0.35001,5.953315043,-0.312219317,-0.312219317
1.00E-05,0.40001,5.806449968,-0.31675167,-0.31675167
1.00E-05,0.45001,5.677085805,-0.320336543,-0.320336543
1.00E-05,0.50001,5.561735277,-0.323243225,-0.323243225
1.00E-05,0.55001,5.457839425,-0.325647666,-0.325647666
1.00E-05,0.60001,5.363468111,-0.327669732,-0.327669732
1.00E-05,0.65001,5.277131531,-0.329393931,-0.329393931
1.00E-05,0.70001,5.197657021,-0.330881558,-0.330881558
1.00E-05,0.75001,5.124105869,-0.332178163,-0.332178163
1.00E-05,0.80001,5.055715579,-0.333318304,-0.333318304
1.00E-05,0.85001,4.991858799,-0.334328676,-0.334328676
1.00E-05,0.90001,4.932013491,-0.335230225,-0.335230225
1.00E-05,0.95001,4.875740854,-0.33603962,-0.33603962
1.00E-05,1.00001,4.822668707,-0.336770293,-0.336770293
1.00E-05,1.05001,4.772478798,-0.337433184,-0.337433184
1.00E-05,1.10001,4.724896979,-0.338037297,-0.338037297
1.00E-05,1.15001,4.679685507,-0.338590111,-0.338590111
1.00E-05,1.20001,4.636636941,-0.339097885,-0.339097885
1.00E-05,1.25001,4.595569267,-0.339565903,-0.339565903
1.00E-05,1.30001,4.556321949,-0.339998651,-0.339998651
1.00E-05,1.35001,4.518752717,-0.340399968,-0.340399968
1.00E-05,1.40001,4.482734934,-0.340773152,-0.340773152
1.00E-05,1.45001,4.44815541,-0.341121058,-0.341121058
1.00E-05,1.50001,4.414912588,-0.341446166,-0.341446166
1.00E-05,1.55001,4.382915023,-0.341750644,-0.341750644
1.00E-05,1.60001,4.352080097,-0.342036392,-0.342036392
1.00E-05,1.65001,4.322332935,-0.342305084,-0.342305084
1.00E-05,1.70001,4.293605477,-0.342558201,-0.342558201
1.00E-05,1.75001,4.265835688,-0.342797057,-0.342797057
1.00E-05,1.80001,4.238966874,-0.343022822,-0.343022822
1.00E-05,1.85001,4.212947094,-0.343236542,-0.343236542
1.00E-05,1.90001,4.187728652,-0.343439155,-0.343439155
1.00E-05,1.95001,4.163267651,-0.343631504,-0.343631504
1.00E-05,2.00001,4.139523607,-0.343814347,-0.343814347
1.00E-05,2.05001,4.116459107,-0.343988372,-0.343988372
1.00E-05,2.10001,4.09403951,-0.3441542,-0.3441542
1.00E-05,2.15001,4.072232686,-0.344312396,-0.344312396
1.00E-05,2.20001,4.051008779,-0.344463475,-0.344463475
1.00E-05,2.25001,4.030340003,-0.344607906,-0.344607906
1.00E-05,2.30001,4.010200457,-0.344746117,-0.344746117
1.00E-05,2.35001,3.990565958,-0.3448785,-0.3448785
1.00E-05,2.40001,3.971413899,-0.345005417,-0.345005417
1.00E-05,2.45001,3.952723112,-0.345127199,-0.345127199
1.00E-05,2.50001,3.934473755,-0.34524415,-0.34524415
1.00E-05,2.55001,3.9166472,-0.345356551,-0.345356551
1.00E-05,2.60001,3.899225941,-0.345464664,-0.345464664
