alpha_1,alpha_2,Im(lambda_4),Re(lambda_4),Re(lambda_3)
0.00001,0.00001,0,-6.18308481,-19.17311017
0.00001,0.05001,0,-2.913346462,-24.91179563
0.00001,0.10001,0,-2.285766607,-25.67581562
0.00001,0.15001,0,-1.958840595,-26.04783346
0.00001,0.20001,0,-1.7472753,-26.28111963
0.00001,0.25001,0,-1.595127871,-26.44579321
0.00001,0.30001,0,-1.478549161,-26.57041324
0.00001,0.35001,0,-1.385340365,-26.66916759
0.00001,0.40001,0,-1.30849836,-26.75003565
0.00001,0.45001,0,-1.243665965,-26.81790638
0.00001,0.50001,0,-1.187965885,-26.87596989
0.00001,0.55001,0,-1.139408649,-26.92641083
0.00001,0.60001,0,-1.096567326,-26.97078384
0.00001,0.65001,0,-1.058387379,-27.01023023
0.00001,0.70001,0,-1.02406983,-27.0456099
0.00001,0.75001,0,-0.992996441,-27.077585
0.00001,0.80001,0,-0.964680112,-27.10667501
0.00001,0.85001,0,-0.938731007,-27.13329418
0.00001,0.90001,0,-0.914832831,-27.15777747
0.00001,0.95001,0,-0.892725827,-27.18039917
0.00001,1.00001,0,-0.872194368,-27.20138639
0.00001,1.05001,0,-0.853057718,-27.220929
0.00001,1.10001,0,-0.835163072,-27.2391872
0.00001,1.15001,0,-0.818380215,-27.25629724
0.00001,1.20001,0,-0.802597389,-27.27237584
0.00001,1.25001,0,-0.787718045,-27.28752367
0.00001,1.30001,0,-0.773658275,-27.30182807
0.00001,1.35001,0,-0.760344749,-27.31536528
0.00001,1.40001,0,-0.747713057,-27.32820217
0.00001,1.45001,0,-0.735706354,-27.34039768
0.00001,1.50001,0,-0.724274253,-27.352004
0.00001,1.55001,0,-0.713371906,-27.36306753
0.00001,1.60001,0,-0.702959241,-27.37362967
0.00001,1.65001,0,-0.693000329,-27.38372754
0.00001,1.70001,0,-0.683462845,-27.39339447
0.00001,1.75001,0,-0.674317615,-27.40266055
0.00001,1.80001,0,-0.665538229,-27.41155297
0.00001,1.85001,0,-0.657100716,-27.42009639
0.00001,1.90001,0,-0.648983256,-27.42831327
0.00001,1.95001,0,-0.64116594,-27.43622406
0.00001,2.00001,0,-0.63363056,-27.44384745
0.00001,2.05001,0,-0.626360425,-27.4512006
0.00001,2.10001,0,-0.619340202,-27.45829921
0.00001,2.15001,0,-0.612555774,-27.46515777
0.00001,2.20001,0,-0.605994125,-27.47178961
0.00001,2.25001,0,-0.599643224,-27.47820706
0.00001,2.30001,0,-0.593491938,-27.4844215
0.00001,2.35001,0,-0.58752994,-27.49044352
0.00001,2.40001,0,-0.581747643,-27.4962829
