alpha_1,alpha_2,Im(lambda_6),Re(lambda_6),Re(lambda_5)
0.00001,0.00001,5.653300403,-5.620950947,-5.620950947
0.00001,0.05001,3.481271764,-6.928110743,-6.928110743
0.00001,0.10001,1.820584884,-6.971847995,-6.971847995
0.00001,0.15001,0,-5.470373563,-8.506140848
0.00001,0.20001,0,-4.48205674,-9.511474475
0.00001,0.25001,0,-3.93624464,-10.06758667
0.00001,0.30001,0,-3.562100226,-10.44857632
0.00001,0.35001,0,-3.281797254,-10.73372542
0.00001,0.40001,0,-3.060593666,-10.95852088
0.00001,0.45001,0,-2.879813215,-11.14205808
0.00001,0.50001,0,-2.728258651,-11.29578739
0.00001,0.55001,0,-2.598704464,-11.42709577
0.00001,0.60001,0,-2.486231315,-11.54101011
0.00001,0.65001,0,-2.387349332,-11.64109457
0.00001,0.70001,0,-2.299500377,-11.72996011
0.00001,0.75001,0,-2.220758461,-11.8095713
0.00001,0.80001,0,-2.149640799,-11.88143967
0.00001,0.85001,0,-2.084983994,-11.94675046
0.00001,0.90001,0,-2.025860242,-12.00644838
0.00001,0.95001,0,-1.971519052,-12.06129715
0.00001,1.00001,0,-1.921345743,-12.11192197
0.00001,1.05001,0,-1.874831278,-12.15884033
0.00001,1.10001,0,-1.831549925,-12.20248483
0.00001,1.15001,0,-1.791142455,-12.24322033
0.00001,1.20001,0,-1.753303314,-12.28135705
0.00001,1.25001,0,-1.717770705,-12.31716067
0.00001,1.30001,0,-1.684318827,-12.35086026
0.00001,1.35001,0,-1.652751738,-12.38265451
0.00001,1.40001,0,-1.62289845,-12.41271678
0.00001,1.45001,0,-1.594608978,-12.44119905
0.00001,1.50001,0,-1.56775113,-12.46823525
0.00001,1.55001,0,-1.542207874,-12.49394391
0.00001,1.60001,0,-1.517875173,-12.51843037
0.00001,1.65001,0,-1.494660185,-12.54178861
0.00001,1.70001,0,-1.472479751,-12.56410279
0.00001,1.75001,0,-1.451259139,-12.58544851
0.00001,1.80001,0,-1.430930975,-12.60589393
0.00001,1.85001,0,-1.411434329,-12.62550066
0.00001,1.90001,0,-1.392713953,-12.64432456
0.00001,1.95001,0,-1.374719607,-12.66241641
0.00001,2.00001,0,-1.357405496,-12.6798225
0.00001,2.05001,0,-1.340729772,-12.69658512
0.00001,2.10001,0,-1.32465411,-12.71274297
0.00001,2.15001,0,-1.309143332,-12.7283316
0.00001,2.20001,0,-1.294165087,-12.74338367
0.00001,2.25001,0,-1.279689558,-12.7579293
0.00001,2.30001,0,-1.265689218,-12.77199626
0.00001,2.35001,0,-1.252138608,-12.78561028
0.00001,2.40001,0,-1.239014139,-12.79879514
0.00001,2.45001,0,-1.226293918,-12.81157295
0.00001,2.50001,0,-1.213957598,-12.82396423
0.00001,2.55001,0,-1.201986239,-12.83598809
0.00001,2.60001,0,-1.190362184,-12.84766234
0.00001,2.65001,0,-1.17906895,-12.85900361
0.00001,2.70001,0,-1.168091128,-12.87002744
0.00001,2.75001,0,-1.157414299,-12.88074837
0.00001,2.80001,0,-1.147024948,-12.89118002
0.00001,2.85001,0,-1.136910397,-12.90133517
0.00001,2.90001,0,-1.127058737,-12.91122584
0.00001,2.95001,0,-1.117458769,-12.9208633
0.00001,3.00001,0,-1.108099951,-12.93025818
0.00001,3.05001,0,-1.09897235,-12.93942049
0.00001,3.10001,0,-1.090066597,-12.94835968
0.00001,3.15001,0,-1.081373845,-12.95708464
0.00001,3.20001,0,-1.072885735,-12.96560382
0.00001,3.25001,0,-1.064594358,-12.97392516
0.00001,3.30001,0,-1.05649223,-12.98205622
0.00001,3.35001,0,-1.048572256,-12.99000414
0.00001,3.40001,0,-1.04082771,-12.99777568
0.00001,3.45001,0,-1.033252209,-13.00537729
0.00001,3.50001,0,-1.025839691,-13.01281505
0.00001,3.55001,0,-1.018584392,-13.02009479
0.00001,3.60001,0,-1.011480831,-13.027222
0.00001,3.65001,0,-1.004523791,-13.03420195
0.00001,3.70001,0,-0.997708302,-13.04103965
0.00001,3.75001,0,-0.991029628,-13.04773984
0.00001,3.80001,0,-0.984483251,-13.0543071
0.00001,3.85001,0,-0.978064859,-13.06074574
0.00001,3.90001,0,-0.971770336,-13.06705992
0.00001,3.95001,0,-0.965595747,-13.0732536
0.00001,4.00001,0,-0.959537331,-13.07933055
0.00001,4.05001,0,-0.95359149,-13.0852944
0.00001,4.10001,0,-0.94775478,-13.09114862
0.00001,4.15001,0,-0.942023902,-13.09689653
0.00001,4.20001,0,-0.936395696,-13.10254129
0.00001,4.25001,0,-0.930867133,-13.10808597
0.00001,4.30001,0,-0.925435306,-13.11353348
0.00001,4.35001,0,-0.920097426,-13.11888663
0.00001,4.40001,0,-0.914850817,-13.1241481
0.00001,4.45001,0,-0.909692905,-13.1293205
0.00001,4.50001,0,-0.904621221,-13.1344063
0.00001,4.55001,0,-0.899633387,-13.1394079
0.00001,4.60001,0,-0.894727119,-13.14432758
0.00001,4.65001,0,-0.889900217,-13.14916757
0.00001,4.70001,0,-0.885150564,-13.15392999
