alpha_1,alpha_2,Im(lambda_6),Re(lambda_6),Re(lambda_5)
0.00001,0.00001,4.880627681,-0.451696541,-0.451696541
0.00001,0.05001,7.639217349,-1.288268358,-1.288268358
0.00001,0.10001,7.110237505,-1.085052947,-1.085052947
0.00001,0.15001,6.734252979,-0.990050494,-0.990050494
0.00001,0.20001,6.44715357,-0.934155688,-0.934155688
0.00001,0.25001,6.216588483,-0.897065872,-0.897065872
0.00001,0.30001,6.024840032,-0.87054364,-0.87054364
0.00001,0.35001,5.861276156,-0.850580708,-0.850580708
0.00001,0.40001,5.719049747,-0.834981773,-0.834981773
0.00001,0.45001,5.593505445,-0.822439393,-0.822439393
0.00001,0.50001,5.481340496,-0.812124472,-0.812124472
0.00001,0.55001,5.380130359,-0.803484909,-0.803484909
0.00001,0.60001,5.288044706,-0.796138353,-0.796138353
0.00001,0.65001,5.203669202,-0.789811343,-0.789811343
0.00001,0.70001,5.125889186,-0.784302958,-0.784302958
0.00001,0.75001,5.053811205,-0.779462161,-0.779462161
0.00001,0.80001,4.986708548,-0.775173157,-0.775173157
0.00001,0.85001,4.923982507,-0.771345639,-0.771345639
0.00001,0.90001,4.865134227,-0.767908112,-0.767908112
0.00001,0.95001,4.809743852,-0.764803215,-0.764803215
0.00001,1.00001,4.757454828,-0.761984381,-0.761984381
0.00001,1.05001,4.707961897,-0.759413402,-0.759413402
0.00001,1.10001,4.661001801,-0.757058624,-0.757058624
0.00001,1.15001,4.616345982,-0.754893598,-0.754893598
0.00001,1.20001,4.573794806,-0.752896043,-0.752896043
0.00001,1.25001,4.53317292,-0.751047057,-0.751047057
0.00001,1.30001,4.494325516,-0.749330497,-0.749330497
0.00001,1.35001,4.457115266,-0.747732488,-0.747732488
0.00001,1.40001,4.42141982,-0.746241041,-0.746241041
0.00001,1.45001,4.387129726,-0.74484574,-0.74484574
0.00001,1.50001,4.354146697,-0.74353749,-0.74353749
0.00001,1.55001,4.322382157,-0.742308316,-0.742308316
0.00001,1.60001,4.291756022,-0.741151192,-0.741151192
0.00001,1.65001,4.262195657,-0.740059905,-0.740059905
0.00001,1.70001,4.233634989,-0.739028943,-0.739028943
0.00001,1.75001,4.206013753,-0.738053393,-0.738053393
0.00001,1.80001,4.179276834,-0.737128865,-0.737128865
0.00001,1.85001,4.153373708,-0.736251423,-0.736251423
0.00001,1.90001,4.128257948,-0.735417529,-0.735417529
0.00001,1.95001,4.1038868,-0.734623991,-0.734623991
0.00001,2.00001,4.08022081,-0.733867924,-0.733867924
0.00001,2.05001,4.057223497,-0.733146713,-0.733146713
0.00001,2.10001,4.034861065,-0.732457983,-0.732457983
0.00001,2.15001,4.01310215,-0.731799568,-0.731799568
0.00001,2.20001,3.991917593,-0.731169495,-0.731169495
0.00001,2.25001,3.971280243,-0.730565956,-0.730565956
0.00001,2.30001,3.951164778,-0.729987298,-0.729987298
0.00001,2.35001,3.931547547,-0.729432,-0.729432
0.00001,2.40001,3.912406426,-0.728898665,-0.728898665
0.00001,2.45001,3.893720693,-0.728386004,-0.728386004
0.00001,2.50001,3.875470916,-0.727892829,-0.727892829
0.00001,2.55001,3.857638842,-0.727418042,-0.727418042
0.00001,2.60001,3.840207313,-0.726960625,-0.726960625
0.00001,2.65001,3.823160177,-0.726519634,-0.726519634
0.00001,2.70001,3.806482211,-0.726094194,-0.726094194
0.00001,2.75001,3.790159054,-0.72568349,-0.72568349
0.00001,2.80001,3.774177147,-0.725286765,-0.725286765
0.00001,2.85001,3.758523666,-0.72490331,-0.72490331
0.00001,2.90001,3.743186482,-0.724532467,-0.724532467
0.00001,2.95001,3.728154104,-0.724173619,-0.724173619
0.00001,3.00001,3.713415638,-0.723826188,-0.723826188
0.00001,3.05001,3.698960748,-0.723489635,-0.723489635
0.00001,3.10001,3.684779618,-0.723163453,-0.723163453
0.00001,3.15001,3.67086292,-0.722847167,-0.722847167
0.00001,3.20001,3.657201779,-0.72254033,-0.72254033
0.00001,3.25001,3.643787748,-0.722242521,-0.722242521
0.00001,3.30001,3.63061278,-0.721953345,-0.721953345
0.00001,3.35001,3.617669203,-0.72167243,-0.72167243
0.00001,3.40001,3.604949697,-0.721399425,-0.721399425
0.00001,3.45001,3.592447276,-0.721133996,-0.721133996
0.00001,3.50001,3.580155265,-0.720875833,-0.720875833
0.00001,3.55001,3.568067284,-0.720624637,-0.720624637
0.00001,3.60001,3.556177229,-0.720380129,-0.720380129
0.00001,3.65001,3.544479259,-0.720142044,-0.720142044
0.00001,3.70001,3.53296778,-0.71991013,-0.71991013
0.00001,3.75001,3.521637433,-0.719684148,-0.719684148
0.00001,3.80001,3.510483077,-0.719463873,-0.719463873
0.00001,3.85001,3.499499784,-0.71924909,-0.71924909
0.00001,3.90001,3.488682821,-0.719039594,-0.719039594
0.00001,3.95001,3.478027645,-0.718835191,-0.718835191
0.00001,4.00001,3.46752989,-0.718635697,-0.718635697
0.00001,4.05001,3.45718536,-0.718440936,-0.718440936
0.00001,4.10001,3.446990019,-0.71825074,-0.71825074
0.00001,4.15001,3.436939984,-0.71806495,-0.71806495
0.00001,4.20001,3.427031516,-0.717883413,-0.717883413
0.00001,4.25001,3.417261017,-0.717705984,-0.717705984
0.00001,4.30001,3.407625017,-0.717532525,-0.717532525
0.00001,4.35001,3.398120175,-0.717362902,-0.717362902
0.00001,4.40001,3.388743265,-0.71719699,-0.71719699
0.00001,4.45001,3.379491179,-0.717034666,-0.717034666
0.00001,4.50001,3.370360915,-0.716875816,-0.716875816
0.00001,4.55001,3.361349576,-0.716720327,-0.716720327
0.00001,4.60001,3.352454364,-0.716568095,-0.716568095
0.00001,4.65001,3.343672574,-0.716419016,-0.716419016
0.00001,4.70001,3.335001595,-0.716272994,-0.716272994
0.00001,4.75001,3.326438898,-0.716129935,-0.716129935
0.00001,4.80001,3.31798204,-0.715989749,-0.715989749
0.00001,4.85001,3.309628658,-0.71585235,-0.71585235
0.00001,4.90001,3.301376462,-0.715717655,-0.715717655
0.00001,4.95001,3.293223237,-0.715585584,-0.715585584
0.05001,0.00001,5.934944122,0.196804145,0.196804145
0.05001,0.05001,9.840866314,-3.219195922,-3.219195922
0.05001,0.10001,9.084864337,-3.560072968,-3.560072968
0.05001,0.15001,8.643382435,-3.698824716,-3.698824716
0.05001,0.20001,8.343952395,-3.768875796,-3.768875796
0.05001,0.25001,8.124342224,-3.806988332,-3.806988332
0.05001,0.30001,7.955262712,-3.8278155,-3.8278155
0.05001,0.35001,7.820686453,-3.838401528,-3.838401528
0.05001,0.40001,7.710941478,-3.842548919,-3.842548919
0.05001,0.45001,7.619774105,-3.842479619,-3.842479619
0.05001,0.50001,7.542927384,-3.83956909,-3.83956909
0.05001,0.55001,7.477385539,-3.834706879,-3.834706879
0.05001,0.60001,7.42094276,-3.828488272,-3.828488272
0.05001,0.65001,7.371942899,-3.821322628,-3.821322628
0.05001,0.70001,7.329115033,-3.813497691,-3.813497691
