alpha_1,alpha_2,Im(lambda_6),Re(lambda_6),Re(lambda_5)
0.00001,0.00001,2.249123709,-0.105452105,-0.105452105
0.00001,0.05001,3.959879639,-0.689132585,-0.689132585
0.00001,0.10001,4.252765547,-0.691414141,-0.691414141
0.00001,0.15001,4.383187366,-0.692159455,-0.692159455
0.00001,0.20001,4.446070038,-0.692665586,-0.692665586
0.00001,0.25001,4.474102064,-0.693102688,-0.693102688
0.00001,0.30001,4.482122266,-0.693504776,-0.693504776
0.00001,0.35001,4.477913874,-0.69387993,-0.69387993
0.00001,0.40001,4.465945799,-0.694230598,-0.694230598
0.00001,0.45001,4.448948339,-0.694558127,-0.694558127
0.00001,0.50001,4.428666367,-0.694863785,-0.694863785
0.00001,0.55001,4.406253209,-0.695148932,-0.695148932
0.00001,0.60001,4.382490969,-0.695414993,-0.695414993
0.00001,0.65001,4.357920444,-0.695663391,-0.695663391
0.00001,0.70001,4.332921025,-0.695895511,-0.695895511
0.00001,0.75001,4.307761577,-0.69611266,-0.69611266
0.00001,0.80001,4.282633795,-0.696316061,-0.696316061
0.00001,0.85001,4.257674609,-0.696506839,-0.696506839
0.00001,0.90001,4.232981557,-0.696686027,-0.696686027
0.00001,0.95001,4.208623522,-0.696854566,-0.696854566
0.00001,1.00001,4.184648356,-0.69701331,-0.69701331
0.00001,1.05001,4.16108836,-0.697163037,-0.697163037
0.00001,1.10001,4.137964282,-0.69730445,-0.69730445
0.00001,1.15001,4.115288249,-0.69743819,-0.69743819
0.00001,1.20001,4.093065952,-0.697564835,-0.697564835
0.00001,1.25001,4.071298278,-0.697684912,-0.697684912
0.00001,1.30001,4.049982539,-0.697798899,-0.697798899
0.00001,1.35001,4.029113408,-0.697907233,-0.697907233
0.00001,1.40001,4.008683624,-0.69801031,-0.69801031
0.00001,1.45001,3.988684537,-0.698108491,-0.698108491
0.00001,1.50001,3.969106525,-0.698202108,-0.698202108
0.00001,1.55001,3.949939309,-0.698291463,-0.698291463
0.00001,1.60001,3.931172202,-0.698376834,-0.698376834
0.00001,1.65001,3.912794294,-0.698458474,-0.698458474
0.00001,1.70001,3.894794597,-0.698536617,-0.698536617
0.00001,1.75001,3.87716215,-0.69861148,-0.69861148
0.00001,1.80001,3.859886109,-0.698683259,-0.698683259
0.00001,1.85001,3.842955803,-0.698752138,-0.698752138
0.00001,1.90001,3.82636078,-0.698818285,-0.698818285
0.00001,1.95001,3.810090841,-0.698881858,-0.698881858
0.00001,2.00001,3.794136064,-0.698943001,-0.698943001
0.00001,2.05001,3.778486816,-0.699001848,-0.699001848
0.00001,2.10001,3.763133762,-0.699058524,-0.699058524
0.00001,2.15001,3.748067873,-0.699113146,-0.699113146
0.00001,2.20001,3.733280424,-0.699165821,-0.699165821
0.00001,2.25001,3.718762989,-0.699216651,-0.699216651
0.00001,2.30001,3.704507443,-0.699265728,-0.699265728
0.00001,2.35001,3.690505952,-0.699313141,-0.699313141
0.00001,2.40001,3.676750964,-0.699358972,-0.699358972
0.00001,2.45001,3.663235207,-0.699403299,-0.699403299
0.00001,2.50001,3.649951675,-0.699446192,-0.699446192
0.00001,2.55001,3.636893623,-0.699487719,-0.699487719
0.00001,2.60001,3.624054555,-0.699527944,-0.699527944
0.00001,2.65001,3.611428217,-0.699566927,-0.699566927
0.00001,2.70001,3.599008586,-0.699604723,-0.699604723
0.00001,2.75001,3.586789865,-0.699641385,-0.699641385
0.00001,2.80001,3.574766468,-0.699676963,-0.699676963
0.00001,2.85001,3.562933016,-0.699711503,-0.699711503
0.00001,2.90001,3.551284327,-0.699745051,-0.699745051
0.00001,2.95001,3.53981541,-0.699777647,-0.699777647
0.00001,3.00001,3.528521452,-0.699809332,-0.699809332
0.00001,3.05001,3.517397817,-0.699840142,-0.699840142
0.00001,3.10001,3.506440032,-0.699870113,-0.699870113
0.00001,3.15001,3.495643788,-0.699899278,-0.699899278
0.00001,3.20001,3.485004925,-0.69992767,-0.69992767
0.00001,3.25001,3.47451943,-0.699955317,-0.699955317
0.00001,3.30001,3.464183433,-0.69998225,-0.69998225
0.00001,3.35001,3.453993193,-0.700008494,-0.700008494
0.00001,3.40001,3.443945104,-0.700034076,-0.700034076
0.00001,3.45001,3.434035678,-0.70005902,-0.70005902
0.00001,3.50001,3.424261547,-0.70008335,-0.70008335
0.00001,3.55001,3.414619459,-0.700107087,-0.700107087
0.00001,3.60001,3.405106266,-0.700130254,-0.700130254
0.00001,3.65001,3.395718927,-0.700152869,-0.700152869
0.00001,3.70001,3.386454501,-0.700174953,-0.700174953
0.00001,3.75001,3.377310141,-0.700196524,-0.700196524
0.00001,3.80001,3.368283094,-0.700217599,-0.700217599
0.00001,3.85001,3.359370693,-0.700238195,-0.700238195
0.00001,3.90001,3.350570359,-0.700258329,-0.700258329
0.00001,3.95001,3.341879591,-0.700278014,-0.700278014
0.00001,4.00001,3.333295968,-0.700297267,-0.700297267
0.00001,4.05001,3.324817144,-0.7003161,-0.7003161
0.00001,4.10001,3.316440844,-0.700334528,-0.700334528
0.00001,4.15001,3.308164865,-0.700352563,-0.700352563
0.00001,4.20001,3.299987068,-0.700370218,-0.700370218
0.00001,4.25001,3.29190538,-0.700387505,-0.700387505
0.00001,4.30001,3.283917788,-0.700404434,-0.700404434
0.00001,4.35001,3.276022339,-0.700421016,-0.700421016
0.00001,4.40001,3.26821714,-0.700437263,-0.700437263
0.00001,4.45001,3.260500348,-0.700453184,-0.700453184
0.00001,4.50001,3.252870177,-0.700468789,-0.700468789
0.00001,4.55001,3.245324892,-0.700484086,-0.700484086
0.00001,4.60001,3.237862804,-0.700499086,-0.700499086
0.00001,4.65001,3.230482274,-0.700513796,-0.700513796
0.00001,4.70001,3.22318171,-0.700528224,-0.700528224
0.00001,4.75001,3.215959561,-0.70054238,-0.70054238
0.00001,4.80001,3.20881432,-0.700556269,-0.700556269
0.00001,4.85001,3.201744522,-0.700569901,-0.700569901
0.00001,4.90001,3.194748741,-0.700583281,-0.700583281
0.00001,4.95001,3.187825588,-0.700596416,-0.700596416
0.05001,0.00001,6.219914635,2.061413342,2.061413342
0.05001,0.05001,4.913106481,-0.646706835,-0.646706835
0.05001,0.10001,4.333992572,-0.680210222,-0.680210222
0.05001,0.15001,4.040928135,-0.689330693,-0.689330693
0.05001,0.20001,3.853474929,-0.693341361,-0.693341361
0.05001,0.25001,3.719670232,-0.695530309,-0.695530309
0.05001,0.30001,3.617788578,-0.69688403,-0.69688403
0.05001,0.35001,3.536824363,-0.697792651,-0.697792651
0.05001,0.40001,3.470491721,-0.698438881,-0.698438881
0.05001,0.45001,3.414890308,-0.69891876,-0.69891876
0.05001,0.50001,3.367447937,-0.699287215,-0.699287215
0.05001,0.55001,3.326387025,-0.699577752,-0.699577752
0.05001,0.60001,3.290432651,-0.699811878,-0.699811878
0.05001,0.65001,3.258642368,-0.700003982,-0.700003982
0.05001,0.70001,3.230301812,-0.700164023,-0.700164023
0.05001,0.75001,3.204857928,-0.7002991,-0.7002991
0.05001,0.80001,3.181874728,-0.700414398,-0.700414398
0.05001,0.85001,3.161003089,-0.700513783,-0.700513783
0.05001,0.90001,3.141959596,-0.700600195,-0.700600195
0.05001,0.95001,3.124511382,-0.700675905,-0.700675905
0.05001,1.00001,3.108465051,-0.700742693,-0.700742693
0.05001,1.05001,3.093658444,-0.700801973,-0.700801973
0.05001,1.10001,3.079954416,-0.70085488,-0.70085488
0.05001,1.15001,3.067236068,-0.700902336,-0.700902336
0.05001,1.20001,3.055403052,-0.700945099,-0.700945099
0.05001,1.25001,3.044368664,-0.700983791,-0.700983791
0.05001,1.30001,3.03405755,-0.701018936,-0.701018936
0.05001,1.35001,3.024403855,-0.701050969,-0.701050969
0.05001,1.40001,3.015349742,-0.701080261,-0.701080261
0.05001,1.45001,3.006844172,-0.701107128,-0.701107128
0.05001,1.50001,2.998841913,-0.701131837,-0.701131837
0.05001,1.55001,2.991302716,-0.70115462,-0.70115462
0.05001,1.60001,2.984190633,-0.701175679,-0.701175679
0.05001,1.65001,2.977473441,-0.701195187,-0.701195187
0.05001,1.70001,2.971122164,-0.701213296,-0.701213296
0.05001,1.75001,2.965110662,-0.701230139,-0.701230139
0.05001,1.80001,2.959415286,-0.701245833,-0.701245833
0.05001,1.85001,2.95401458,-0.701260482,-0.701260482
0.05001,1.90001,2.948889031,-0.701274177,-0.701274177
0.05001,1.95001,2.944020843,-0.701287,-0.701287
0.05001,2.00001,2.939393754,-0.701299024,-0.701299024
0.05001,2.05001,2.934992868,-0.701310313,-0.701310313
0.05001,2.10001,2.930804511,-0.701320925,-0.701320925
0.05001,2.15001,2.926816108,-0.701330914,-0.701330914
0.05001,2.20001,2.92301607,-0.701340326,-0.701340326
0.05001,2.25001,2.919393699,-0.701349204,-0.701349204
0.05001,2.30001,2.915939103,-0.701357587,-0.701357587
0.05001,2.35001,2.912643117,-0.70136551,-0.70136551
0.05001,2.40001,2.909497239,-0.701373004,-0.701373004
0.05001,2.45001,2.90649357,-0.7013801,-0.7013801
0.05001,2.50001,2.903624759,-0.701386823,-0.701386823
0.05001,2.55001,2.900883956,-0.701393199,-0.701393199
0.05001,2.60001,2.89826477,-0.701399249,-0.701399249
0.05001,2.65001,2.895761229,-0.701404994,-0.701404994
0.05001,2.70001,2.893367748,-0.701410452,-0.701410452
0.05001,2.75001,2.891079096,-0.701415642,-0.701415642
0.05001,2.80001,2.888890368,-0.701420578,-0.701420578
0.05001,2.85001,2.88679696,-0.701425277,-0.701425277
0.05001,2.90001,2.884794545,-0.701429752,-0.701429752
0.05001,2.95001,2.882879055,-0.701434015,-0.701434015
0.05001,3.00001,2.881046658,-0.701438078,-0.701438078
0.05001,3.05001,2.879293744,-0.701441952,-0.701441952
0.05001,3.10001,2.877616905,-0.701445648,-0.701445648
0.05001,3.15001,2.876012925,-0.701449175,-0.701449175
0.05001,3.20001,2.874478766,-0.701452541,-0.701452541
0.05001,3.25001,2.873011552,-0.701455755,-0.701455755
0.05001,3.30001,2.871608564,-0.701458825,-0.701458825
0.05001,3.35001,2.870267223,-0.701461758,-0.701461758
0.05001,3.40001,2.868985085,-0.701464561,-0.701464561
0.05001,3.45001,2.867759833,-0.701467239,-0.701467239
0.05001,3.50001,2.866589265,-0.7014698,-0.7014698
0.05001,3.55001,2.86547129,-0.701472248,-0.701472248
0.05001,3.60001,2.86440392,-0.701474589,-0.701474589
0.05001,3.65001,2.863385263,-0.701476828,-0.701476828
0.05001,3.70001,2.86241352,-0.701478969,-0.701478969
0.05001,3.75001,2.861486974,-0.701481017,-0.701481017
0.05001,3.80001,2.860603991,-0.701482976,-0.701482976
