alpha_1,alpha_2,Im(lambda_6),Re(lambda_6),Re(lambda_5)
0.00001,0.00001,0,-3.214123729,-15.228943
0.00001,0.05001,0,-2.327357242,-14.7696441
0.00001,0.10001,0,-1.974622581,-14.62083888
0.00001,0.15001,0,-1.754324343,-14.5387259
0.00001,0.20001,0,-1.59835715,-14.48448051
0.00001,0.25001,0,-1.479863903,-14.44511262
0.00001,0.30001,0,-1.385613419,-14.41481877
0.00001,0.35001,0,-1.308175339,-14.39055155
0.00001,0.40001,0,-1.24299226,-14.37053279
0.00001,0.45001,0,-1.187084281,-14.35364425
0.00001,0.50001,0,-1.138405703,-14.33914207
0.00001,0.55001,0,-1.095497122,-14.32650929
0.00001,0.60001,0,-1.057284459,-14.31537377
0.00001,0.65001,0,-1.022956573,-14.30545977
0.00001,0.70001,0,-0.991887449,-14.29655801
0.00001,0.75001,0,-0.963584904,-14.28850632
0.00001,0.80001,0,-0.937655722,-14.28117684
0.00001,0.85001,0,-0.913781328,-14.27446718
0.00001,0.90001,0,-0.891700412,-14.26829423
0.00001,0.95001,0,-0.871196282,-14.26258973
0.00001,1.00001,0,-0.85208747,-14.25729703
0.00001,1.05001,0,-0.834220668,-14.25236864
0.00001,1.10001,0,-0.817465318,-14.24776443
0.00001,1.15001,0,-0.801709432,-14.2434502
0.00001,1.20001,0,-0.78685631,-14.23939661
0.00001,1.25001,0,-0.772821947,-14.23557834
0.00001,1.30001,0,-0.759532962,-14.23197338
0.00001,1.35001,0,-0.746924916,-14.2285625
0.00001,1.40001,0,-0.73494096,-14.22532883
0.00001,1.45001,0,-0.723530712,-14.22225748
0.00001,1.50001,0,-0.712649344,-14.21933526
0.00001,1.55001,0,-0.702256807,-14.21655045
0.00001,1.60001,0,-0.692317202,-14.21389255
0.00001,1.65001,0,-0.682798234,-14.21135218
0.00001,1.70001,0,-0.67367076,-14.2089209
0.00001,1.75001,0,-0.664908406,-14.20659109
0.00001,1.80001,0,-0.656487231,-14.20435587
0.00001,1.85001,0,-0.648385448,-14.20220897
0.00001,1.90001,0,-0.640583181,-14.20014472
0.00001,1.95001,0,-0.633062251,-14.19815792
0.00001,2.00001,0,-0.625805996,-14.19624385
0.00001,2.05001,0,-0.61879911,-14.19439814
0.00001,2.10001,0,-0.612027506,-14.19261682
0.00001,2.15001,0,-0.605478189,-14.19089621
0.00001,2.20001,0,-0.599139156,-14.18923293
0.00001,2.25001,0,-0.592999294,-14.18762387
0.00001,2.30001,0,-0.587048299,-14.18606612
0.00001,2.35001,0,-0.581276603,-14.18455701
0.00001,2.40001,0,-0.575675306,-14.18309405
0.00001,2.45001,0,-0.570236117,-14.18167493
0.00001,2.50001,0,-0.564951302,-14.1802975
0.00001,2.55001,0,-0.559813636,-14.17895975
0.00001,2.60001,0,-0.554816361,-14.17765981
0.00001,2.65001,0,-0.549953148,-14.17639592
0.00001,2.70001,0,-0.545218061,-14.17516644
0.00001,2.75001,0,-0.540605528,-14.17396983
0.00001,2.80001,0,-0.536110313,-14.17280466
0.00001,2.85001,0,-0.531727487,-14.17166956
0.00001,2.90001,0,-0.527452409,-14.17056326
0.00001,2.95001,0,-0.523280702,-14.16948457
0.00001,3.00001,0,-0.519208237,-14.16843234
0.00001,3.05001,0,-0.515231111,-14.1674055
0.00001,3.10001,0,-0.511345634,-14.16640307
0.00001,3.15001,0,-0.507548315,-14.16542407
0.00001,3.20001,0,-0.503835846,-14.1644676
0.00001,3.25001,0,-0.50020509,-14.16353282
0.00001,3.30001,0,-0.496653073,-14.16261892
0.00001,3.35001,0,-0.493176969,-14.16172512
0.00001,3.40001,0,-0.489774094,-14.1608507
0.00001,3.45001,0,-0.486441895,-14.15999497
0.00001,3.50001,0,-0.483177942,-14.15915726
0.00001,3.55001,0,-0.47997992,-14.15833696
0.00001,3.60001,0,-0.476845625,-14.15753347
0.00001,3.65001,0,-0.473772954,-14.15674621
0.00001,3.70001,0,-0.4707599,-14.15597466
0.00001,3.75001,0,-0.467804548,-14.15521829
0.00001,3.80001,0,-0.464905066,-14.15447661
0.00001,3.85001,0,-0.462059706,-14.15374914
0.00001,3.90001,0,-0.459266793,-14.15303545
0.00001,3.95001,0,-0.456524724,-14.1523351
0.00001,4.00001,0,-0.453831967,-14.15164768
0.00001,4.05001,0,-0.451187051,-14.15097279
0.00001,4.10001,0,-0.448588567,-14.15031006
0.00001,4.15001,0,-0.446035164,-14.14965912
0.00001,4.20001,0,-0.443525545,-14.14901964
0.00001,4.25001,0,-0.441058466,-14.14839127
0.00001,4.30001,0,-0.43863273,-14.1477737
0.00001,4.35001,0,-0.436247188,-14.14716662
0.00001,4.40001,0,-0.433900737,-14.14656974
0.00001,4.45001,0,-0.431592312,-14.14598277
0.00001,4.50001,0,-0.429320893,-14.14540545
0.00001,4.55001,0,-0.427085495,-14.1448375
0.00001,4.60001,0,-0.424885169,-14.14427869
0.00001,4.65001,0,-0.422719004,-14.14372876
0.00001,4.70001,0,-0.420586119,-14.14318748
0.00001,4.75001,0,-0.418485665,-14.14265463
0.00001,4.80001,0,-0.416416824,-14.14213
0.00001,4.85001,0,-0.414378807,-14.14161336
0.00001,4.90001,0,-0.412370851,-14.14110453
0.00001,4.95001,0,-0.41039222,-14.1406033
0.05001,0.00001,2.939298147,-13.37677574,-13.37677574
0.05001,0.05001,0,-10.10448112,-13.17487347
0.05001,0.10001,0,-8.614531102,-13.69991477
0.05001,0.15001,0,-7.866554353,-13.89107703
0.05001,0.20001,0,-7.3740031,-14.00041189
0.05001,0.25001,0,-7.012503265,-14.07435102
0.05001,0.30001,0,-6.730377207,-14.12909689
0.05001,0.35001,0,-6.501184954,-14.17201657
0.05001,0.40001,0,-6.309622737,-14.20701716
0.05001,0.45001,0,-6.146064951,-14.23639395
0.05001,0.50001,0,-6.004081324,-14.26159803
0.05001,0.55001,0,-5.879174444,-14.28359909
0.05001,0.60001,0,-5.768082773,-14.30307385
0.05001,0.65001,0,-5.668370583,-14.32051138
0.05001,0.70001,0,-5.578174115,-14.33627544
0.05001,0.75001,0,-5.496037781,-14.35064323
0.05001,0.80001,0,-5.420804719,-14.36383032
0.05001,0.85001,0,-5.351541477,-14.37600735
0.05001,0.90001,0,-5.287484854,-14.38731152
0.05001,0.95001,0,-5.228003537,-14.39785458
0.05001,1.00001,0,-5.172569887,-14.4077287
0.05001,1.05001,0,-5.120738809,-14.41701069
0.05001,1.10001,0,-5.072131704,-14.42576518
0.05001,1.15001,0,-5.026424095,-14.434047
0.05001,1.20001,0,-4.983335988,-14.44190307
0.05001,1.25001,0,-4.942624247,-14.4493738
0.05001,1.30001,0,-4.904076535,-14.45649423
0.05001,1.35001,0,-4.86750643,-14.46329493
0.05001,1.40001,0,-4.832749458,-14.46980271
0.05001,1.45001,0,-4.799659858,-14.47604119
0.05001,1.50001,0,-4.768107905,-14.48203131
0.05001,1.55001,0,-4.737977697,-14.48779169
0.05001,1.60001,0,-4.709165299,-14.49333897
0.05001,1.65001,0,-4.681577193,-14.49868807
0.05001,1.70001,0,-4.655128961,-14.50385241
0.05001,1.75001,0,-4.629744171,-14.50884411
0.05001,1.80001,0,-4.605353424,-14.51367415
0.05001,1.85001,0,-4.581893536,-14.51835252
0.05001,1.90001,0,-4.559306841,-14.52288829
0.05001,1.95001,0,-4.537540576,-14.52728977
0.05001,2.00001,0,-4.516546361,-14.53156457
0.05001,2.05001,0,-4.496279735,-14.53571966
0.05001,2.10001,0,-4.476699756,-14.53976146
0.05001,2.15001,0,-4.457768647,-14.54369589
0.05001,2.20001,0,-4.439451491,-14.54752843
0.05001,2.25001,0,-4.421715954,-14.55126414
0.05001,2.30001,0,-4.404532041,-14.55490771
0.05001,2.35001,0,-4.387871889,-14.55846351
